County,Days_on_Market,Days_On_Market_Growth_YoY,Avg_Home_Value,Home_Value_Growth_YoY,Inventory_Surplus_Deficit,Population,Sale_Inventory_Growth_YoY,Sale_Inventory_Growth_MoM,Home_Sales_Growth_YoY,Price_Cut_Percentage,Population_Growth,Cap_Rate,Home_Price_Forecast,Vacancy_Rate,Median_Age,Housing_Unit_Growth_Rate
"Columbia, FL",67.0,1.5,266290.0,1.0,49.6,73063.0,39.8,6.7,,29.1,3.6,6.4,39.0,10.7,41.2,5.1
"Columbia, GA",48.0,20.0,327091.0,0.9,17.8,165162.0,17.7,13.7,,16.2,7.0,6.1,47.0,8.3,37.9,7.3
"Columbia, NY",,,,,,,,15.8,0.0,14.4,0.5,5.0,58.0,21.7,49.5,
"Columbia, OR",,,,,,,27.2,9.1,34.0,34.9,4.5,2.9,36.0,5.7,43.2,4.0
"Columbia, PA",38.0,,230723.0,,,65439.0,4.4,12.3,86.9,16.1,,6.6,60.0,13.4,40.8,
"Columbia, WA",,,,,,,23.0,84.6,,12.5,,,50.0,14.6,52.1,2.7
"Columbia, WI",54.0,55.0,345125.0,5.9,15.3,58322.0,48.8,15.7,3.7,18.6,2.4,2.6,48.0,9.6,43.3,0.7
"Columbiana, OH",52.0,,153669.0,2.7,,100182.0,2.0,4.5,,23.4,,,53.0,8.1,45.4,
"Columbus, NC",61.0,2.5,188486.0,,9.1,50453.0,,,29.1,29.9,,,45.0,18.3,42.4,
"Colusa, CA",,,,,,,,,,26.0,2.0,,47.0,8.4,35.7,1.9
"Comal, TX",66.0,12.8,446291.0,,73.5,193928.0,15.5,8.1,,29.6,30.7,3.5,29.0,8.3,42.2,34.6
"Comanche, KS",211.0,251.6,82955.0,11.9,,1685.0,,,0.0,0.0,,,56.0,21.8,50.8,6.9
"Comanche, OK",50.0,16.2,147381.0,2.4,,121574.0,28.2,2.8,0.0,11.2,0.9,8.8,51.0,12.8,33.9,1.9
"Comanche, TX",78.0,0.0,221564.0,2.2,44.3,13786.0,,,27.2,20.1,2.1,,38.0,22.2,43.7,
"Concho, TX",81.0,,164737.0,8.5,61.6,3301.0,25.0,17.6,,20.0,,,40.0,40.2,45.3,
"Concordia, LA",118.0,43.0,102123.0,,2.0,18325.0,10.8,2.0,60.0,7.0,,,42.0,27.1,37.7,
"Conecuh, AL",95.0,29.0,120603.0,1.8,41.7,11411.0,16.9,1.6,500.0,21.0,,,41.0,29.7,46.3,
"Conejos, CO",67.0,95.6,214656.0,,36.7,7536.0,40.4,17.8,,11.1,,,47.0,23.3,38.8,
"Contra Costa, CA",,,,,,,60.9,17.9,,25.4,0.4,3.7,33.0,3.6,40.9,3.8
"Converse, WY",71.0,4.0,310573.0,6.9,,13759.0,,,58.3,24.2,,,59.0,14.0,41.3,
"Conway, AR",52.0,,157545.0,,,20872.0,,,0.0,12.9,,,49.0,14.2,42.6,
"Cook, GA",56.0,,143138.0,,18.4,17363.0,24.2,,233.3,36.3,1.0,,45.0,14.5,37.5,0.1
"Cook, IL",32.0,6.6,318892.0,2.9,,5087072.0,9.2,7.1,,14.8,,6.6,57.0,7.1,38.4,3.6
"Cook, MN",,,,,,,23.0,68.4,300.0,10.0,6.0,,65.0,55.1,52.3,0.0
"Cooke, TX",66.0,,327475.0,3.2,93.9,42473.0,11.2,6.2,38.8,32.8,7.3,4.2,30.0,8.9,40.3,5.6
"Cooper, MO",44.0,,236964.0,3.8,21.8,16835.0,27.5,,,29.0,,4.3,43.0,15.2,39.9,
"Coos, NH",,,,,,,55.1,22.7,7.1,19.7,,,54.0,32.8,49.9,
"Coos, OR",,,,,,,22.3,19.0,1.6,31.9,2.4,4.5,42.0,10.3,48.6,2.3
"Coosa, AL",71.0,,178067.0,,,10323.0,,2.2,200.0,28.5,,6.6,52.0,30.4,50.3,
"Copiah, MS",122.0,55.4,125930.0,5.7,14.6,27994.0,78.7,0.0,,15.3,,8.8,47.0,20.4,39.8,1.9
"Corson, SD",,,,,,,,,0.0,0.0,,,57.0,18.2,29.9,
"Cortland, NY",,,,,,,,5.7,,19.8,,5.8,63.0,9.9,36.5,0.3
"Coryell, TX",58.0,19.5,223556.0,,78.8,84878.0,28.2,4.3,,26.0,13.4,5.6,30.0,6.0,33.4,11.2
"Coshocton, OH",38.0,1.3,168950.0,3.5,,36679.0,30.7,6.2,0.0,33.3,0.2,,53.0,8.9,41.0,
"Costilla, CO",100.0,65.1,195617.0,1.1,23.8,3571.0,,0.0,0.0,13.7,,,42.0,34.9,50.7,
"Cottle, TX",102.0,,73860.0,,23.0,1302.0,0.0,,200.0,0.0,,,40.0,41.2,44.3,
"Cotton, OK",58.0,46.8,105473.0,3.5,23.9,5475.0,144.4,4.7,,0.0,,9.5,46.0,24.2,43.2,
"Cottonwood, MN",71.0,,160461.0,0.4,5.3,11458.0,3.5,3.5,60.0,12.5,0.7,,43.0,9.7,41.3,
"Covington, AL",74.0,11.3,150351.0,4.4,15.2,37647.0,54.3,1.9,,20.1,0.7,,48.0,22.3,42.8,
"Covington, MS",66.0,,151018.0,4.2,19.5,18226.0,34.8,5.4,,10.2,,,50.0,15.3,37.7,
"Covington, VA",105.0,775.0,91219.0,8.4,0.0,5671.0,,,,,,,,,,
"Coweta, GA",57.0,53.0,399548.0,,44.1,155892.0,45.4,4.1,,25.0,6.8,4.7,37.0,4.9,39.7,8.8
"Cowley, KS",50.0,,120788.0,5.6,,34487.0,7.5,13.4,,14.3,,,52.0,14.7,38.1,
"Cowlitz, WA",,,,,,,29.2,10.9,,33.1,3.5,3.6,34.0,4.4,41.4,4.0
"Craig, OK",53.0,,185980.0,5.7,50.5,14215.0,18.6,11.3,0.0,23.1,,,42.0,17.7,40.8,
"Craig, VA",82.0,268.5,222674.0,5.9,,4881.0,50.0,20.0,,22.2,,5.0,49.0,26.9,46.1,
"Craighead, AR",61.0,23.2,211958.0,,34.2,113993.0,21.8,,0.7,20.3,5.0,7.9,40.0,5.5,35.1,7.9
"Crane, TX",36.0,,201225.0,0.8,10.3,4623.0,50.0,14.2,,28.5,,,48.0,8.9,36.7,9.7
"Craven, NC",53.0,21.8,268813.0,2.8,18.7,102391.0,41.6,4.8,,19.7,,6.5,47.0,14.9,39.0,1.7
"Crawford, AR",59.0,55.2,208487.0,5.0,42.0,60792.0,24.7,12.5,,33.6,,5.2,43.0,9.8,39.1,
"Crawford, GA",35.0,52.1,191809.0,1.3,,12183.0,0.0,,75.0,21.0,,5.0,48.0,15.8,46.0,
"Crawford, IA",66.0,,177444.0,5.1,39.5,16289.0,14.2,,66.6,12.1,,,42.0,9.0,37.9,
"Crawford, IL",49.0,,127217.0,3.5,,18588.0,2.8,35.0,100.0,20.3,,,56.0,12.4,42.4,
"Crawford, IN",44.0,10.1,159631.0,9.1,1.0,10494.0,35.1,2.0,,11.1,,,51.0,22.3,45.6,6.2
"Crawford, KS",53.0,37.6,135148.0,6.7,15.9,38963.0,120.3,17.2,0.0,18.1,,7.3,50.0,12.1,33.8,0.0
"Crawford, MI",,,,,,,20.0,36.8,,18.7,,,59.0,41.4,51.5,
"Crawford, MO",56.0,16.2,211801.0,3.2,,22890.0,18.8,10.0,,19.2,,,52.0,17.1,42.3,
"Crawford, OH",47.0,100.0,151131.0,4.5,12.3,41767.0,59.5,7.9,,28.7,,5.5,48.0,8.6,43.3,
"Crawford, PA",47.0,1.6,161991.0,6.0,,82001.0,15.3,6.1,,21.0,,4.5,59.0,17.4,43.9,
"Crawford, WI",47.0,,226958.0,6.6,,16064.0,0.0,13.7,54.5,15.3,,,61.0,23.4,47.3,
"Creek, OK",50.0,19.7,210471.0,5.1,12.3,73332.0,17.6,9.2,,33.6,2.4,6.2,48.0,9.0,41.3,3.5
"Crenshaw, AL",75.0,3.8,125716.0,3.1,,13144.0,,,,40.0,,,50.0,22.6,42.4,
"Crisp, GA",93.0,24.5,127514.0,,33.3,19995.0,44.2,11.3,,22.8,,,43.0,19.5,40.4,
"Crittenden, AR",55.0,,154275.0,,20.5,47609.0,29.4,2.1,24.3,13.7,,8.1,46.0,14.1,36.0,
"Crittenden, KY",39.0,,124785.0,6.2,15.3,8972.0,30.4,57.8,200.0,0.0,,,50.0,18.3,42.8,
"Crockett, TN",86.0,12.4,177688.0,5.0,106.3,13937.0,46.2,1.0,12.5,25.3,,7.7,31.0,10.1,40.2,
"Crockett, TX",42.0,,102827.0,,23.0,2881.0,0.0,20.0,0.0,0.0,,,43.0,32.3,42.9,
"Crook, OR",,,,,,,89.2,21.1,14.7,30.4,14.8,3.5,34.0,7.6,47.7,7.9
"Crook, WY",,,,,,,48.4,13.9,100.0,23.0,,,47.0,21.2,44.3,0.6
"Crosby, TX",65.0,,84042.0,6.1,60.0,5072.0,,6.2,0.0,19.0,,9.7,39.0,26.0,39.3,
"Cross, AR",72.0,23.6,136045.0,,15.6,16681.0,39.5,,18.1,25.5,,,45.0,13.9,40.6,
"Crow Wing, MN",,,,,,,31.5,22.8,8.3,19.0,6.9,4.1,51.0,27.0,46.4,3.6
"Crowley, CO",51.0,,148488.0,3.1,25.8,5734.0,27.2,3.6,,0.0,1.8,,49.0,13.1,39.6,
"Culberson, TX",64.0,,148775.0,11.9,72.9,2181.0,60.0,0.0,0.0,0.0,,,45.0,26.7,48.1,
"Cullman, AL",63.0,,250721.0,2.2,21.2,92016.0,30.5,1.3,,25.1,10.2,7.3,46.0,10.8,40.1,6.0
"Culpeper, VA",39.0,24.8,470285.0,4.0,0.0,53563.0,40.5,5.6,13.3,21.4,6.1,4.1,50.0,4.8,39.3,5.5
"Cumberland, IL",29.0,,164768.0,,,10378.0,,,,0.0,,,55.0,11.4,42.3,
"Cumberland, KY",89.0,12.3,150132.0,5.2,30.6,5948.0,14.2,,0.0,15.3,,,42.0,28.5,45.1,
"Cumberland, ME",,,,,,,43.7,35.8,26.5,26.4,5.6,4.1,49.0,13.4,42.5,6.5
"Cumberland, NC",50.0,33.3,225991.0,1.8,32.2,337890.0,53.8,6.1,,20.4,1.6,7.3,45.0,9.1,32.1,
"Cumberland, NJ",,,,,,,33.4,4.9,,18.2,0.8,5.8,57.0,4.9,39.0,1.4
"Cumberland, PA",36.0,9.0,334474.0,3.3,,270738.0,38.6,7.9,,14.3,7.6,4.0,54.0,3.9,40.2,5.2
"Cumberland, TN",66.0,11.8,293936.0,0.9,56.1,62529.0,39.4,11.0,3.5,27.9,6.6,6.9,39.0,11.5,53.0,5.8
"Cumberland, VA",37.0,9.6,279655.0,5.4,,9745.0,,38.8,,9.5,,,59.0,11.0,45.2,
"Cuming, NE",82.0,123.1,246142.0,6.7,1.8,8976.0,12.0,,50.0,18.1,,,44.0,8.8,40.8,
"Currituck, NC",72.0,25.7,552352.0,2.2,,29612.0,35.1,,,21.5,14.7,2.6,50.0,30.8,41.7,6.9
"Curry, NM",51.0,27.5,163739.0,0.4,33.2,47932.0,54.6,10.2,27.9,22.3,,8.1,45.0,13.1,31.9,0.3
"Curry, OR",,,,,,,16.1,6.1,,33.6,4.2,,46.0,14.0,57.2,1.6
"Custer, CO",89.0,10.5,411473.0,5.1,32.4,5073.0,55.7,10.3,0.0,13.9,9.3,,45.0,43.7,58.6,
"Custer, ID",81.0,,333519.0,5.2,3.2,4411.0,,20.7,0.0,10.5,6.5,,51.0,38.9,59.5,
"Custer, MT",,,,,,,41.1,2.1,0.0,18.6,0.7,,54.0,12.5,42.6,1.4
"Custer, NE",96.0,62.7,161967.0,0.7,57.2,10544.0,19.3,,,0.0,,,31.0,16.4,42.3,
"Custer, OK",61.0,,171861.0,6.7,3.3,28332.0,28.3,0.0,5.8,18.3,,5.8,50.0,16.7,32.8,3.3
"Custer, SD",61.0,29.4,498092.0,3.6,,8686.0,2.2,0.0,,13.3,1.3,2.4,49.0,21.3,57.2,0.4
"Cuyahoga, OH",40.0,11.1,209901.0,5.4,,1233088.0,29.0,9.4,,20.2,,6.9,54.0,10.3,40.7,
"Dade, GA",74.0,119.2,242911.0,3.0,57.1,16196.0,106.1,9.8,,28.9,,4.7,39.0,16.6,42.2,1.7
"Dade, MO",57.0,,179527.0,3.1,39.1,7627.0,52.3,3.2,33.3,31.5,0.4,,40.0,19.8,46.7,
"Dakota, MN",,,,,,,18.8,18.7,2.8,20.3,5.1,4.9,45.0,2.5,38.7,7.9
"Dakota, NE",43.0,,227791.0,3.9,29.5,21331.0,17.9,,60.0,14.8,4.9,5.7,46.0,6.3,32.1,
"Dale, AL",51.0,7.9,154405.0,0.5,3.3,49516.0,25.4,,,17.3,0.5,10.9,49.0,13.7,38.0,
"Dallam, TX",47.0,0.0,147179.0,0.8,64.7,7180.0,47.3,19.1,0.0,28.5,,,41.0,22.2,30.4,4.0
"Dallas, AL",96.0,8.4,79742.0,,,37536.0,27.7,,,12.3,,,50.0,18.6,40.3,
"Dallas, AR",137.0,65.5,93453.0,,,6351.0,,,100.0,0.0,,,39.0,30.5,44.5,
"Dallas, IA",65.0,21.5,359048.0,1.0,23.3,111092.0,15.9,6.3,19.4,28.1,23.1,4.2,43.0,5.6,36.3,21.9
"Dallas, MO",66.0,,230308.0,1.8,27.2,17344.0,78.7,3.5,14.2,24.3,5.1,4.6,42.0,12.9,42.5,
"Dallas, TX",45.0,20.0,320162.0,,68.3,2606358.0,49.3,6.6,,35.1,,5.2,30.0,7.9,34.3,4.9
"Dane, WI",39.0,18.1,463352.0,4.4,,575347.0,27.0,8.8,,16.2,6.0,2.9,51.0,2.8,35.9,11.9
"Daniels, MT",,,,,,,200.0,9.0,0.0,33.3,,,25.0,36.6,48.7,1.6
"Danville, VA",54.0,,130610.0,3.5,11.1,42239.0,38.2,,21.0,25.0,1.7,9.4,50.0,16.4,40.8,0.7
"Dare, NC",,,,,,,33.8,2.5,,22.6,5.0,4.0,49.0,52.6,48.5,0.9
"Darke, OH",48.0,,202136.0,6.9,,51655.0,23.2,11.5,0.0,28.7,,,56.0,5.7,42.0,
"Darlington, SC",58.0,0.0,139521.0,2.2,16.7,62754.0,10.9,,,14.3,,11.8,45.0,15.4,41.5,
"Dauphin, PA",30.0,9.0,267893.0,4.4,,289234.0,36.9,12.6,6.0,20.2,4.3,5.7,57.0,5.2,39.9,3.0
"Davidson, NC",40.0,,262076.0,3.2,16.2,174804.0,20.4,16.6,,24.3,4.9,6.0,49.0,7.6,42.4,2.3
"Davidson, TN",53.0,60.6,447214.0,,81.6,712334.0,38.9,10.5,,31.8,2.8,4.8,27.0,8.2,34.8,16.5
"Davie, NC",46.0,13.0,305522.0,1.5,,43526.0,22.2,3.2,14.2,25.8,3.6,5.4,54.0,11.5,45.0,2.6
"Daviess, IN",52.0,26.8,224641.0,3.1,20.3,33442.0,1.7,4.5,41.1,27.2,1.5,,45.0,9.4,34.7,1.8
"Daviess, KY",51.0,45.7,208697.0,4.9,,103458.0,,,,25.3,2.3,6.3,49.0,5.6,38.2,3.0
"Daviess, MO",52.0,,259769.0,7.7,9.0,8449.0,,10.0,,17.0,1.7,,50.0,25.8,40.6,
"Davis, IA",93.0,200.0,224327.0,6.9,61.4,9127.0,43.7,,0.0,11.1,2.7,,32.0,12.0,36.2,0.1
"Davis, UT",40.0,37.9,557391.0,2.6,50.0,373207.0,49.8,14.8,13.8,35.0,6.1,3.6,33.0,4.3,32.9,12.1
"Davison, SD",50.0,15.6,246308.0,3.1,43.9,19936.0,57.3,26.1,,16.9,0.1,,41.0,8.7,39.8,1.3
"Dawes, NE",98.0,,180245.0,3.8,230.5,8212.0,100.0,11.4,0.0,0.0,,,33.0,15.7,35.2,
"Dawson, GA",51.0,37.8,464365.0,0.4,40.0,28704.0,56.9,8.7,10.0,25.8,20.2,3.6,42.0,13.4,43.9,12.4
"Dawson, MT",,,,,,,,,0.0,9.3,,,53.0,15.2,43.5,
"Dawson, NE",92.0,,198211.0,3.8,7.5,24020.0,,,,9.0,0.9,,43.0,9.3,35.8,
"Dawson, TX",68.0,,106858.0,6.8,4.5,12311.0,,30.0,,12.5,,,51.0,15.0,34.6,
"Day, SD",,,,,,,44.0,0.0,0.0,20.0,,,43.0,31.7,47.1,
"De Baca, NM",99.0,12.5,93293.0,6.1,9.8,1580.0,40.0,16.6,0.0,0.0,,,52.0,37.5,35.1,8.0
"De Soto, LA",73.0,5.4,190009.0,9.2,58.4,26897.0,66.6,0.6,30.0,28.3,,5.8,37.0,18.0,40.1,
"De Witt, IL",41.0,31.7,139835.0,7.6,,15461.0,,4.0,,12.9,,,66.0,9.1,44.0,
"DeKalb, AL",64.0,33.3,204001.0,7.3,38.6,72569.0,51.1,12.0,7.3,22.1,1.6,,47.0,12.7,39.9,
"DeKalb, GA",47.0,28.7,352277.0,,61.1,762992.0,56.2,7.5,,35.4,0.8,5.8,33.0,12.5,36.8,6.0
"DeKalb, IL",37.0,4.9,283689.0,5.8,,100288.0,,14.1,3.7,12.9,,4.8,59.0,3.9,34.4,1.4
"DeKalb, IN",32.0,,239911.0,6.6,12.6,43584.0,21.2,22.4,,18.7,2.0,3.7,53.0,6.9,38.4,2.0
"DeKalb, MO",67.0,1.1,222488.0,4.9,27.4,11176.0,28.5,0.0,16.6,14.2,,3.7,47.0,11.7,42.3,
"DeKalb, TN",72.0,37.5,295189.0,1.2,74.1,20551.0,68.0,6.1,,38.5,4.8,,30.0,15.3,42.2,5.1
"DeSoto, FL",,,,,,,3.6,,37.9,20.7,,,35.0,19.4,42.8,4.0
"DeSoto, MS",64.0,35.8,300533.0,,60.7,193247.0,15.5,,11.5,23.8,6.1,6.4,32.0,8.3,37.2,12.4
"DeWitt, TX",69.0,14.0,229812.0,,57.1,19853.0,6.3,20.7,,14.8,,,40.0,27.5,41.8,0.1
"Deaf Smith, TX",71.0,24.5,174638.0,3.3,59.4,18487.0,2.5,,,15.3,,,38.0,14.5,31.4,
"Dearborn, IN",42.0,,317244.0,4.2,,50828.0,25.0,5.6,37.8,36.7,2.6,4.0,55.0,3.8,41.8,2.6
"Decatur, GA",81.0,11.7,152972.0,,52.9,29118.0,50.3,11.7,0.0,19.0,8.5,,38.0,20.0,38.7,7.3
"Decatur, IA",66.0,59.0,147942.0,1.8,,7669.0,,23.5,0.0,11.1,,,55.0,16.4,36.2,
"Decatur, IN",45.0,40.6,244457.0,4.7,19.1,26411.0,42.0,,,34.5,,,48.0,9.4,40.4,2.1
"Decatur, KS",36.0,,99650.0,3.4,15.7,2746.0,,22.2,100.0,0.0,,,44.0,16.4,52.1,
"Decatur, TN",87.0,16.7,162472.0,0.3,35.7,11499.0,34.0,9.2,,15.3,,,41.0,32.6,45.9,
"Deer Lodge, MT",,,,,,,48.0,15.1,,17.9,4.5,,44.0,17.1,49.6,6.0
"Defiance, OH",31.0,,179272.0,7.5,,38258.0,75.5,14.6,34.2,13.9,,,55.0,7.2,40.8,
"Del Norte, CA",,,,,,,22.9,3.0,,13.3,,,44.0,13.7,40.8,
"Delaware, IA",54.0,,232946.0,3.5,53.2,17549.0,53.8,11.1,83.3,28.1,1.6,,43.0,11.8,44.0,0.4
"Delaware, IN",44.0,4.1,161097.0,7.7,,112321.0,20.5,,22.7,28.3,,7.4,54.0,14.3,35.4,
"Delaware, NY",,,,,,,0.5,17.0,,10.2,,,61.0,36.9,48.8,
"Delaware, OH",33.0,32.0,510247.0,2.4,2.2,231636.0,41.9,24.4,3.8,29.1,13.0,3.0,51.0,4.3,39.7,18.3
"Delaware, OK",65.0,8.7,269974.0,3.8,19.8,41017.0,46.7,7.5,35.2,22.3,,,46.0,30.2,47.0,
"Delaware, PA",,,,,,,19.6,16.3,,15.6,2.1,4.3,56.0,6.2,39.5,2.3
"Delta, CO",57.0,3.6,400757.0,4.6,25.2,31353.0,31.6,12.3,,28.5,3.3,5.1,46.0,15.2,48.4,1.1
"Delta, MI",,,,,,,2.7,12.8,16.1,18.3,1.7,,60.0,19.8,47.8,
"Delta, TX",68.0,,207799.0,3.5,74.6,5345.0,14.8,12.7,,34.2,2.4,,30.0,14.1,40.7,
"Dent, MO",74.0,74.1,182521.0,2.2,31.4,14506.0,60.0,27.1,,26.9,,,45.0,16.9,43.8,
"Denton, TX",42.0,23.5,470057.0,,70.1,1007703.0,60.5,11.7,,36.3,17.3,3.5,31.0,5.1,37.3,22.1
"Denver, CO",43.0,32.3,576020.0,,111.5,716577.0,52.3,15.8,,41.7,0.0,3.6,25.0,6.5,35.4,10.9
"Des Moines, IA",47.0,0.5,140129.0,1.5,,38597.0,45.5,0.0,28.5,18.0,,5.4,50.0,8.4,42.2,1.1
"Deschutes, OR",,,,,,,38.9,22.4,,28.0,8.6,3.7,37.0,12.8,43.1,11.7
"Desha, AR",93.0,58.1,89746.0,,38.4,11041.0,71.4,,,34.7,,,33.0,18.2,41.2,
"Deuel, NE",51.0,,157372.0,5.2,,1865.0,,,,0.0,,,51.0,17.5,50.7,
"Deuel, SD",,,,,,,37.5,83.3,,0.0,0.2,,61.0,16.1,42.0,
"Dewey, OK",53.0,30.8,124332.0,4.2,38.6,4433.0,4.0,4.0,33.3,0.0,,,45.0,27.3,38.0,
"Dickens, TX",26.0,,88470.0,2.5,125.6,1641.0,214.2,266.6,0.0,0.0,,,46.0,38.2,45.7,
"Dickenson, VA",91.0,65.4,100112.0,7.5,,13920.0,,,,14.8,,,55.0,22.2,45.9,
"Dickey, ND",,,,,,,,14.2,100.0,0.0,,,64.0,18.1,38.6,
"Dickinson, IA",64.0,32.6,366411.0,2.2,1.4,17844.0,35.7,3.4,15.1,14.0,4.6,,48.0,38.4,48.1,3.2
"Dickinson, KS",37.0,1.3,162398.0,5.3,,18423.0,,20.0,8.3,10.3,,,62.0,9.4,42.1,
"Dickinson, MI",,,,,,,85.7,7.2,,21.9,1.4,,57.0,15.0,47.4,
"Dickson, TN",45.0,50.0,360160.0,1.9,66.0,55197.0,61.7,7.7,,23.9,6.1,3.5,33.0,9.0,39.0,7.4
"Dillon, SC",80.0,53.8,123714.0,,8.5,28031.0,29.5,2.2,,10.9,,,46.0,17.7,37.5,
"Dimmit, TX",145.0,52.9,117905.0,,42.2,8507.0,26.3,6.6,0.0,14.8,,,34.0,24.9,36.3,
"Dinwiddie, VA",40.0,,282857.0,3.9,,28083.0,3.6,,19.0,12.1,,5.6,55.0,12.3,43.4,1.5
"District of Columbia, DC",44.0,8.6,616688.0,,66.2,678972.0,33.3,8.3,,23.5,,4.1,30.0,8.8,34.9,14.8
"Dixie, FL",82.0,,206129.0,0.2,21.9,16952.0,46.7,11.6,,16.0,3.1,,47.0,34.5,45.8,
"Dixon, NE",30.0,,187767.0,,,5561.0,,27.2,,0.0,,,49.0,11.5,42.1,
"Doddridge, WV",22.0,,122378.0,3.6,28.0,7767.0,140.0,71.4,50.0,57.1,,9.4,55.0,25.6,45.3,
"Dodge, GA",81.0,15.2,130963.0,,14.8,19909.0,,7.6,120.0,22.8,,,45.0,22.4,42.4,
"Dodge, MN",25.0,,321487.0,3.0,,20962.0,,12.5,,28.5,1.8,4.1,54.0,4.5,38.5,2.3
"Dodge, NE",42.0,,234527.0,2.7,10.5,37146.0,,,0.0,12.8,1.2,5.5,42.0,10.2,38.9,
"Dodge, WI",36.0,14.5,303670.0,6.2,,88231.0,,2.5,7.5,13.7,0.4,2.9,57.0,7.0,43.2,1.5
"Dolores, CO",38.0,,285879.0,1.4,,2385.0,7.1,42.8,300.0,0.0,29.5,,58.0,24.5,57.2,9.6
"Doniphan, KS",70.0,,147318.0,9.5,,7492.0,40.0,16.6,66.6,40.0,,5.6,52.0,20.8,41.3,
"Donley, TX",57.0,7.5,102597.0,,53.5,3276.0,0.0,15.1,,19.0,,,35.0,38.3,45.4,
"Dooly, GA",78.0,,126555.0,,32.5,11026.0,23.4,,20.0,9.7,,,43.0,18.2,45.9,
"Door, WI",,,,,,,4.8,12.9,,8.8,10.3,,60.0,40.0,54.1,
"Dorchester, MD",58.0,17.1,269512.0,3.0,9.0,32612.0,35.3,8.7,,27.6,1.0,8.1,49.0,18.8,43.9,
"Dorchester, SC",43.0,28.3,349766.0,,48.5,169833.0,40.3,6.0,,44.4,5.7,6.1,37.0,5.8,38.2,12.8
"Dougherty, GA",95.0,9.2,121536.0,,12.3,82645.0,4.7,,87.5,14.7,,10.4,44.0,13.7,36.4,0.0
"Douglas, CO",36.0,22.0,741724.0,,77.7,383906.0,63.0,26.8,12.8,38.5,11.9,3.3,30.0,2.1,39.8,15.5
"Douglas, GA",56.0,37.4,312103.0,,60.8,149160.0,31.9,3.9,,26.7,2.6,6.4,33.0,6.6,36.3,7.7
"Douglas, IL",45.0,25.0,143481.0,7.2,,19686.0,60.0,30.2,,16.6,,,63.0,7.9,38.9,0.5
"Douglas, KS",32.0,13.2,330169.0,5.2,,120553.0,23.2,8.7,4.8,14.0,,3.9,52.0,5.6,32.6,5.9
"Douglas, MN",,,,,,,34.3,31.6,5.5,18.4,5.7,,54.0,21.1,44.3,5.4
"Douglas, MO",63.0,81.2,233991.0,4.5,82.5,11850.0,40.2,8.7,62.5,9.5,,,34.0,13.1,46.6,
"Douglas, NE",36.0,7.4,290602.0,1.3,30.2,589540.0,21.7,8.9,,13.6,3.9,4.3,42.0,4.7,36.1,7.4
"Douglas, NV",,,,,,,49.7,14.4,15.3,22.9,3.7,4.1,40.0,14.2,54.2,1.6
"Douglas, OR",,,,,,,45.4,14.2,19.5,41.1,1.9,4.2,41.0,6.3,46.7,0.7
"Douglas, WA",,,,,,,18.4,27.7,,28.7,5.7,4.1,42.0,11.3,38.4,5.4
"Douglas, WI",,,,,,,3.5,28.2,,17.7,1.8,5.0,59.0,17.6,42.8,
"Doña Ana, NM",68.0,11.4,289389.0,1.3,11.2,225210.0,19.1,7.9,,20.3,3.5,5.3,44.0,6.6,34.8,5.4
"Drew, AR",71.0,,157382.0,1.4,28.8,17143.0,19.1,11.5,400.0,6.2,,,41.0,15.5,37.7,
"DuPage, IL",26.0,26.8,427634.0,4.9,,921213.0,25.9,9.7,,12.8,,5.7,63.0,3.8,40.6,1.7
"Dubois, IN",39.0,,249928.0,3.8,,43563.0,,,12.0,20.6,2.6,4.8,55.0,6.0,40.1,5.2
"Dubuque, IA",46.0,,264421.0,5.1,4.4,98887.0,35.5,11.1,,42.1,2.0,4.7,50.0,1.5,39.5,4.9
"Duchesne, UT",56.0,,358062.0,4.2,,19932.0,9.2,13.6,,21.5,,,52.0,24.9,33.8,
"Dukes, MA",,,,,,,,25.1,18.1,9.6,19.8,,46.0,58.4,50.4,
"Dundy, NE",52.0,,188620.0,3.3,108.6,1811.0,100.0,33.3,,28.5,,,38.0,19.7,45.6,
"Dunklin, MO",101.0,1.2,90501.0,8.0,38.2,27795.0,29.7,,,19.2,,,37.0,16.9,39.5,
"Dunn, ND",,,,,,,,16.6,,0.0,,4.1,63.0,28.4,40.8,
"Dunn, WI",,,,,,,27.4,9.4,,13.0,1.9,2.2,53.0,7.6,35.8,2.2
"Duplin, NC",78.0,41.8,183626.0,4.1,28.5,49053.0,8.6,,133.3,26.0,,,42.0,15.6,40.7,
"Durham, NC",42.0,18.3,410953.0,,78.6,336892.0,82.5,13.0,,29.7,6.3,4.7,31.0,8.5,36.0,12.8
"Dutchess, NY",,,,,,,8.4,20.9,5.2,13.4,1.1,4.0,58.0,6.5,42.3,1.9
"Duval, FL",58.0,24.7,302045.0,,67.2,1030822.0,34.2,1.2,,39.2,8.4,6.2,30.0,7.9,37.2,12.6
"Duval, TX",120.0,34.8,87775.0,5.3,,9824.0,,10.0,,0.0,,,52.0,32.4,35.9,
"Dyer, TN",57.0,24.5,168619.0,0.1,,36681.0,,3.4,16.0,21.4,,4.3,49.0,8.6,40.0,
"Eagle, CO",114.0,3.6,1298243.0,3.2,17.4,55374.0,51.4,,,9.0,1.8,3.1,46.0,37.4,39.3,4.0
