"Name","Home Price Forecast","Vacancy Rate","Investor Forecast","Price Cut %","Median Age","Housing Unit Growth Rate"
"Hardin, IA","45","12.6%","-","15.2%","45.2","-1.7%"
"Des Moines, IA","50","8.4%","-","18.0%","42.2","1.1%"
"Clarke, IA","50","9.0%","-","8.1%","38.4","4.5%"
"Beltrami, MN","44","17.0%","-","10.8%","35.1","0.8%"
"Nelson, ND","49","27.9%","-","0.0%","50.4","-5.7%"
"Swift, MN","54","11.9%","-","19.0%","43.4","-3.0%"
"Stevens, MN","60","8.7%","-","12.9%","33.6","-0.0%"
"Clark, WI","55","14.4%","-","19.5%","37.0","-2.0%"
"Clark, SD","59","17.8%","-","0.0%","40.6","-11.8%"
"O'Brien, IA","40","11.5%","-","20.3%","39.8","-1.9%"
"Monona, IA","34","11.3%","-","18.1%","44.7","-6.9%"
"Wayne, NE","44","5.3%","-","15.3%","31.6","2.0%"
"Colfax, NE","32","8.9%","-","0.0%","35.0","-4.3%"
"Pierce, WI","59","7.5%","34","18.0%","38.4","3.3%"
"Pierce, NE","36","8.8%","-","0.0%","39.7","-3.5%"
"Sherman, NE","42","27.9%","-","33.3%","47.9","-7.5%"
"Mills, IA","32","12.5%","41","30.0%","42.6","-0.2%"
"York, NE","55","11.9%","-","24.0%","39.0","0.7%"
"Bottineau, ND","56","32.1%","-","17.7%","43.8","-10.7%"
"Sioux, IA","48","4.5%","-","22.8%","34.0","2.8%"
"Sioux, NE","48","32.9%","-","0.0%","41.5","-14.2%"
"Adams, IA","37","19.1%","-","26.6%","46.6","-5.8%"
"Adams, ND","46","23.7%","-","26.6%","50.0","-6.7%"
"Blaine, MT","45","18.6%","-","21.0%","33.9","-0.6%"
"Cherry, NE","41","25.7%","-","0.0%","43.5","-7.1%"
"Richland, WI","55","16.6%","-","18.1%","46.4","-4.4%"
"Richland, ND","38","10.4%","-","24.6%","38.0","-2.0%"
"Richland, MT","38","19.4%","-","10.8%","38.0","7.4%"
"Golden Valley, MT","44","23.4%","-","0.0%","54.8","0.4%"
"Golden Valley, ND","70","26.8%","-","0.0%","45.7","-13.6%"
"Fallon, MT","41","21.0%","-","30.7%","37.2","-5.6%"
"Dawson, NE","43","9.3%","-","9.0%","35.8","-3.1%"
"Dawson, MT","53","15.2%","-","9.3%","43.5","-1.0%"
"Garfield, NE","44","23.2%","-","0.0%","45.0","-20.6%"
"Garfield, MT","46","45.4%","-","0.0%","43.9","-9.6%"
"Pennington, MN","43","8.6%","-","25.9%","40.2","3.9%"
"Pennington, SD","47","7.4%","53","19.5%","40.2","7.4%"
"Niobrara, WY","64","17.1%","-","0.0%","49.6","0.0%"
"Johnson, IA","50","7.7%","40","12.9%","32.2","6.8%"
"Johnson, WY","57","15.4%","-","15.0%","47.0","0.3%"
"Carbon, WY","55","28.4%","-","9.7%","40.4","-6.1%"
"Carbon, MT","46","26.6%","47","14.7%","50.5","-1.9%"
"Teton, WY","44","30.5%","-","6.5%","40.1","-1.2%"
"Teton, ID","42","26.2%","-","11.4%","39.8","8.6%"
"Moffat, CO","46","13.2%","-","15.0%","37.9","-2.6%"
"Wood, WI","63","7.8%","-","17.3%","43.7","-1.0%"
"Henry, IA","37","9.7%","-","29.6%","40.5","1.0%"
"Henry, IL","58","8.7%","49","15.3%","43.4","0.1%"
"Jo Daviess, IL","56","22.6%","-","18.7%","50.9","-1.9%"
"Mercer, ND","61","22.8%","-","20.5%","42.8","-1.5%"
"Mercer, IL","47","11.8%","37","7.1%","44.5","-1.9%"
"Knox, NE","45","28.5%","-","24.2%","44.5","-7.7%"
"Knox, IL","55","12.7%","-","26.3%","42.4","-0.6%"
"Koochiching, MN","61","23.0%","-","0.0%","50.5","-6.3%"
"Rusk, WI","55","27.8%","-","28.5%","49.1","-5.0%"
"Chippewa, MN","46","8.0%","-","16.0%","41.8","-0.7%"
"Chippewa, WI","49","5.9%","45","23.4%","42.3","4.9%"
"Isanti, MN","52","6.4%","47","16.1%","40.1","7.3%"
"Rice, MN","55","7.6%","-","18.4%","37.3","1.2%"
"Le Sueur, MN","51","11.3%","38","17.6%","41.4","2.6%"
"Crow Wing, MN","51","27.0%","-","19.0%","46.4","3.6%"
"Brown, NE","46","26.5%","-","33.3%","45.9","-12.5%"
"Brown, SD","49","9.1%","-","29.1%","37.8","0.4%"
"Brown, MN","62","7.2%","-","13.5%","42.4","0.7%"
"Hubbard, MN","54","39.8%","-","18.3%","48.3","-0.2%"
"Allamakee, IA","59","22.0%","-","27.9%","43.1","-0.5%"
"Trempealeau, WI","50","6.9%","-","24.3%","39.8","2.5%"
"Buchanan, IA","50","8.8%","-","19.7%","39.9","-1.4%"
"Fillmore, MN","48","10.7%","37","20.0%","42.3","-2.6%"
"Bremer, IA","55","8.0%","45","22.7%","38.6","2.2%"
"Jasper, IA","44","9.0%","39","20.0%","41.4","-0.3%"
"Franklin, ID","32","4.9%","33","26.3%","32.5","7.4%"
"Franklin, IA","46","12.3%","-","8.8%","41.9","-4.3%"
"Watonwan, MN","47","12.0%","-","21.0%","40.6","-2.7%"
"Carroll, IL","63","20.9%","-","24.3%","44.9","-3.2%"
"Carroll, IA","41","7.9%","-","20.2%","41.8","0.2%"
"Lucas, IA","35","9.9%","-","11.2%","43.3","-3.2%"
"Clearwater, MN","57","27.0%","-","0.0%","41.8","-6.9%"
"Walsh, ND","52","14.5%","-","12.5%","43.8","-6.9%"
"Codington, SD","52","7.6%","-","22.0%","39.9","2.8%"
"Kingsbury, SD","40","23.2%","-","20.0%","41.9","-4.1%"
"Day, SD","43","31.7%","-","20.0%","47.1","-8.3%"
"Ransom, ND","47","9.1%","-","25.0%","41.1","-5.6%"
"Pottawattamie, IA","48","4.7%","35","16.8%","41.0","0.5%"
"Cherokee, IA","52","8.5%","-","17.3%","44.5","-3.9%"
"Nobles, MN","42","8.4%","-","11.2%","36.3","-2.9%"
"Turner, SD","55","9.3%","52","22.8%","41.3","-2.8%"
"Cedar, IA","45","8.4%","-","20.6%","43.8","0.2%"
"Cedar, NE","49","12.4%","-","18.1%","41.9","-6.0%"
"Stanton, NE","41","7.5%","-","17.3%","42.0","-7.7%"
"Sanborn, SD","42","18.0%","-","0.0%","38.6","-8.5%"
"Hall, NE","39","3.8%","-","43.7%","36.0","2.8%"
"Ward, ND","60","12.4%","41","14.9%","34.4","-1.7%"
"Stark, ND","59","14.4%","-","22.6%","34.5","7.1%"
"Dunn, WI","53","7.6%","40","13.0%","35.8","2.2%"
"Dunn, ND","63","28.4%","-","0.0%","40.8","-16.3%"
"Keith, NE","40","26.8%","-","9.6%","49.0","-1.0%"
"Carter, MT","35","25.0%","-","0.0%","56.7","-2.7%"
"Treasure, MT","45","20.2%","-","0.0%","53.4","2.7%"
"Scotts Bluff, NE","53","8.3%","-","31.8%","39.8","0.5%"
"Kimball, NE","40","15.5%","-","9.7%","48.5","-6.9%"
"Laramie, WY","44","4.7%","45","15.7%","38.3","6.3%"
"Natrona, WY","52","8.5%","46","33.6%","39.0","0.9%"
"Hill, MT","42","13.9%","-","25.8%","34.0","-1.2%"
"Judith Basin, MT","57","26.4%","-","0.0%","50.9","-10.1%"
"Hot Springs, WY","58","16.5%","-","15.3%","45.4","-2.9%"
"Lincoln, MN","56","20.4%","-","0.0%","45.0","-2.1%"
"Lincoln, WI","61","22.5%","-","20.0%","49.2","-5.0%"
"Lincoln, SD","50","4.1%","66","12.9%","35.9","50.0%"
"Lincoln, NE","52","12.0%","39","14.8%","42.4","-1.1%"
"Lincoln, WY","47","19.3%","-","14.6%","41.2","4.7%"
"Cook, MN","65","55.1%","-","10.0%","52.3","0.0%"
"Oneida, WI","61","45.4%","-","19.4%","52.2","-0.5%"
"Sauk, WI","51","10.7%","-","22.5%","42.2","4.6%"
"Jackson, SD","43","27.3%","-","0.0%","33.2","-19.7%"
"Jackson, MN","36","10.0%","-","17.7%","44.5","-2.4%"
"Jackson, IA","48","10.4%","-","17.3%","44.2","-2.5%"
"Jackson, WI","54","15.4%","-","16.0%","42.6","-2.1%"
"Sawyer, WI","59","47.1%","-","14.8%","52.2","-1.3%"
"Bayfield, WI","57","43.8%","-","18.0%","54.1","-0.1%"
"Washburn, WI","56","41.2%","-","27.1%","52.4","-3.0%"
"Douglas, MN","54","21.1%","-","18.4%","44.3","5.4%"
"Douglas, NE","42","4.7%","53","13.6%","36.1","7.4%"
"Douglas, WI","59","17.6%","57","17.7%","42.8","-0.5%"
"St. Croix, WI","52","2.0%","60","20.4%","40.9","8.5%"
"Goodhue, MN","52","6.8%","-","14.3%","42.3","2.5%"
"Washington, IA","54","6.1%","45","19.7%","40.3","-0.4%"
"Washington, NE","45","3.1%","49","17.5%","42.6","1.1%"
"Washington, MN","51","2.4%","46","22.5%","40.8","12.4%"
"Mille Lacs, MN","49","17.1%","42","25.5%","41.2","0.6%"
"Sibley, MN","48","9.2%","-","33.3%","42.2","-1.7%"
"Nicollet, MN","47","4.0%","35","26.6%","37.8","0.7%"
"Meeker, MN","50","14.3%","-","28.5%","42.3","-1.2%"
"Benton, MN","50","5.6%","42","26.0%","36.7","3.4%"
"Benton, IA","44","8.8%","43","19.2%","43.3","-0.3%"
"Black Hawk, IA","53","8.8%","41","16.1%","36.1","1.2%"
"Floyd, IA","55","9.4%","-","14.8%","44.2","-3.2%"
"Story, IA","53","8.0%","42","12.9%","27.6","3.4%"
"Polk, WI","56","22.7%","-","26.2%","46.5","-0.7%"
"Polk, NE","60","18.4%","-","0.0%","43.7","-7.7%"
"Polk, MN","53","15.1%","49","13.5%","39.5","-1.5%"
"Polk, IA","44","6.5%","43","27.8%","36.8","8.6%"
"Emmet, IA","57","13.1%","-","32.0%","43.3","-5.7%"
"Audubon, IA","36","9.3%","-","9.3%","47.4","-7.4%"
"Cottonwood, MN","43","9.7%","-","12.5%","41.3","-5.0%"
"Buena Vista, IA","43","8.4%","-","23.5%","35.7","-0.6%"
"Traill, ND","49","9.2%","-","0.0%","40.7","-4.9%"
"Hamlin, SD","44","22.9%","-","15.3%","32.5","-1.0%"
"Sargent, ND","33","13.1%","-","50.0%","44.1","-5.2%"
"Beadle, SD","53","11.4%","-","24.4%","36.9","-0.3%"
"Ida, IA","41","11.0%","-","0.0%","42.3","-1.9%"
"Burt, NE","37","14.1%","-","0.0%","44.8","-4.4%"
"Cuming, NE","44","8.8%","-","18.1%","40.8","-2.2%"
"Dixon, NE","49","11.5%","-","0.0%","42.1","-6.7%"
"Clay, IA","48","10.9%","-","12.6%","41.8","-0.9%"
"Clay, MN","49","3.4%","63","19.7%","34.1","7.1%"
"Clay, SD","44","10.9%","-","44.4%","24.5","4.9%"
"Lake, MN","60","32.0%","-","15.5%","49.6","-5.0%"
"Lake, SD","44","19.4%","-","8.9%","43.7","-0.1%"
"Hutchinson, SD","41","8.7%","-","17.3%","41.6","-5.0%"
"Howard, IA","60","14.8%","-","0.0%","39.3","-1.3%"
"Howard, NE","30","13.7%","-","25.0%","42.3","-5.8%"
"Jerauld, SD","41","17.3%","-","0.0%","46.5","-7.9%"
"Seward, NE","49","6.9%","55","14.2%","37.6","0.4%"
"Buffalo, WI","53","13.0%","-","17.3%","46.4","-2.8%"
"Buffalo, NE","58","7.1%","-","10.8%","34.6","4.3%"
"Benson, ND","46","24.4%","-","0.0%","32.4","-16.1%"
"Morton, ND","58","11.7%","63","12.3%","37.7","4.1%"
"Custer, MT","54","12.5%","-","18.6%","42.6","1.4%"
"Custer, SD","49","21.3%","44","13.3%","57.2","0.4%"
"Custer, NE","31","16.4%","-","0.0%","42.3","-5.6%"
"Tripp, SD","30","18.4%","-","0.0%","45.1","-10.3%"
"Jones, IA","52","8.7%","38","17.0%","43.0","-0.9%"
"McPherson, NE","54","24.3%","-","0.0%","46.6","4.8%"
"Sheridan, WY","46","11.2%","-","21.8%","42.9","3.0%"
"Sheridan, MT","46","28.2%","-","25.0%","44.7","-5.6%"
"Sheridan, ND","47","17.9%","-","0.0%","50.8","-4.4%"
"Sheridan, NE","35","21.5%","-","22.2%","46.6","-7.5%"
"Morrill, NE","35","16.9%","-","23.5%","41.3","-6.5%"
"Butte, SD","45","10.7%","-","26.6%","39.3","-1.1%"
"Lawrence, SD","44","18.7%","-","17.5%","43.8","5.0%"
"Goshen, WY","51","13.7%","-","18.7%","43.4","-2.8%"
"Phillips, MT","51","20.8%","-","0.0%","44.9","-4.8%"
"Chouteau, MT","54","22.8%","-","23.5%","42.9","-1.5%"
"Big Horn, MT","52","18.5%","-","0.0%","32.3","-4.0%"
"Big Horn, WY","56","18.8%","-","9.7%","41.5","-1.6%"
"Petroleum, MT","74","32.2%","-","0.0%","51.5","-0.3%"
"Weber, UT","30","5.2%","60","39.0%","33.8","10.7%"
"Davis, UT","33","4.3%","57","35.0%","32.9","12.1%"
"Waldo, ME","55","20.9%","-","20.5%","46.9","-0.9%"
"Kennebec, ME","53","13.1%","58","25.9%","44.1","1.7%"
"Grand Isle, VT","55","41.9%","60","26.2%","48.7","1.0%"
"Providence, RI","56","6.7%","68","10.4%","38.4","4.3%"
"Windsor, VT","56","28.4%","54","14.2%","47.8","0.0%"
"Fairfield, CT","-","6.1%","48","-","41.2","3.4%"
"Saratoga, NY","59","8.4%","42","10.5%","43.9","5.4%"
"Westchester, NY","60","5.9%","46","7.6%","42.2","5.7%"
"St. Lawrence, NY","58","17.6%","-","17.1%","39.9","-2.2%"
"Orleans, VT","57","29.0%","-","10.0%","45.4","-3.8%"
"Orleans, NY","61","11.3%","40","4.0%","43.6","-1.5%"
"Elk, PA","55","20.1%","-","23.5%","48.5","-4.9%"
"Chautauqua, NY","59","18.3%","-","16.0%","43.0","-1.7%"
"Venango, PA","58","18.5%","-","19.4%","47.6","-5.0%"
"Armstrong, PA","57","12.6%","46","27.6%","46.8","-1.8%"
"Summit, OH","55","6.7%","54","23.1%","41.3","1.3%"
"Alpena, MI","62","18.7%","-","12.3%","47.6","-2.3%"
"Ogemaw, MI","61","40.4%","-","24.2%","50.8","-5.1%"
"Cheboygan, MI","61","39.3%","-","13.7%","51.9","-3.8%"
"Grand Traverse, MI","49","10.6%","62","22.9%","42.9","6.9%"
"Sandusky, OH","58","7.6%","-","14.2%","42.5","0.5%"
"Lapeer, MI","52","7.7%","49","24.1%","44.3","1.5%"
"Arenac, MI","59","32.6%","-","24.6%","50.1","-3.0%"
"Bay, MI","55","8.7%","44","19.4%","44.4","0.7%"
"Gladwin, MI","53","34.9%","-","14.2%","50.8","-4.8%"
"Mecosta, MI","50","22.4%","-","23.6%","40.6","-1.6%"
"LaGrange, IN","52","14.7%","-","29.8%","32.5","2.3%"
"Elkhart, IN","48","9.2%","41","22.2%","36.3","1.7%"
"Oceana, MI","49","34.5%","-","23.5%","43.9","-3.0%"
"Delta, MI","60","19.8%","-","18.3%","47.8","-2.5%"
"Kewaunee, WI","64","11.0%","38","21.0%","44.4","-0.9%"
"Kankakee, IL","55","9.5%","33","24.8%","38.8","-0.3%"
"Kenosha, WI","58","5.2%","-","12.9%","39.5","4.4%"
"Fond du Lac, WI","56","4.1%","40","10.5%","41.6","1.7%"
"McHenry, IL","61","2.4%","39","14.4%","41.1","2.7%"
"Dodge, WI","57","7.0%","-","13.7%","43.2","1.5%"
"DeKalb, IN","53","6.9%","-","18.7%","38.4","2.0%"
"DeKalb, IL","59","3.9%","26","12.9%","34.4","1.4%"
"Dane, WI","51","2.8%","44","16.2%","35.9","11.9%"
"Aroostook, ME","55","15.2%","-","26.8%","47.5","-3.5%"
"Penobscot, ME","56","12.5%","64","26.4%","42.7","-0.0%"
"Somerset, ME","55","24.2%","-","21.4%","46.9","-2.6%"
"Rockingham, NH","53","8.6%","48","15.4%","45.2","4.3%"
"Hillsborough, NH","56","4.4%","55","13.9%","41.1","3.8%"
"Grafton, NH","54","22.6%","54","16.8%","44.2","-1.2%"
"New London, CT","-","10.0%","45","-","41.6","1.2%"
"Orange, NY","57","8.0%","55","12.4%","37.0","4.7%"
"Orange, VT","56","14.8%","57","14.2%","46.9","-2.1%"
"Hampshire, MA","58","7.9%","-","26.4%","36.8","4.7%"
"Bergen, NJ","62","3.7%","49","13.3%","42.2","3.1%"
"Greene, NY","51","37.3%","-","12.3%","47.4","-2.1%"
"Chenango, NY","59","19.0%","-","18.3%","44.9","-3.8%"
"Oswego, NY","60","12.7%","64","11.6%","40.7","0.7%"
"Cayuga, NY","60","11.2%","-","15.6%","44.0","-0.5%"
"Allegany, NY","57","27.5%","-","13.7%","38.9","-10.5%"
"Passaic, NJ","63","4.2%","44","9.7%","38.3","5.0%"
"Carbon, PA","49","16.2%","58","20.8%","45.8","-0.8%"
"Mercer, PA","53","6.8%","-","17.0%","44.5","-2.4%"
"Clarion, PA","60","20.6%","-","12.1%","41.6","-7.6%"
"Ashland, OH","57","8.2%","-","23.9%","41.4","1.2%"
"Richland, OH","48","6.8%","43","27.3%","41.6","1.1%"
"Antrim, MI","55","37.3%","-","23.2%","51.8","-2.3%"
"Missaukee, MI","56","33.7%","-","31.3%","42.7","-5.8%"
"Shiawassee, MI","52","11.2%","-","14.0%","42.5","0.3%"
"Paulding, OH","44","11.6%","-","33.3%","41.7","-2.5%"
"Eaton, MI","54","5.6%","39","21.5%","41.4","0.4%"
"Osceola, MI","48","28.1%","-","25.6%","43.8","-7.9%"
"Van Buren, MI","50","17.1%","-","26.8%","42.8","0.6%"
"LaPorte, IN","50","8.9%","45","20.9%","41.9","2.0%"
"Huntington, IN","53","6.4%","-","27.4%","40.8","1.5%"
"Wabash, IN","57","10.6%","-","17.5%","42.6","-0.9%"
"Door, WI","60","40.0%","-","8.8%","54.1","-2.9%"
"Waupaca, WI","61","12.5%","-","16.6%","45.4","-0.3%"
"Manitowoc, WI","55","6.4%","-","9.7%","45.9","1.5%"
"Calumet, WI","55","5.3%","42","9.3%","41.7","8.1%"
"Waukesha, WI","56","4.5%","41","12.6%","43.5","5.6%"
"Kendall, IL","62","4.7%","50","14.2%","36.0","11.7%"
"Green, WI","47","4.7%","38","4.0%","43.1","2.5%"
"Newton, IN","49","7.7%","54","35.0%","43.0","-0.2%"
"Iroquois, IL","57","11.5%","-","27.1%","44.4","-4.9%"
"LaSalle, IL","58","11.1%","-","23.6%","42.5","-0.5%"
"Sagadahoc, ME","53","15.3%","40","23.2%","47.3","1.9%"
"Cumberland, ME","49","13.4%","62","26.4%","42.5","6.5%"
"Barnstable, MA","54","34.4%","59","22.0%","56.3","1.5%"
"Norfolk, MA","51","3.5%","51","31.0%","41.1","6.0%"
"Strafford, NH","57","6.1%","48","15.2%","38.4","4.9%"
"Coos, NH","54","32.8%","-","19.7%","49.9","-4.3%"
"Belknap, NH","54","31.0%","-","26.2%","49.4","2.7%"
"Cheshire, NH","57","11.5%","46","21.9%","44.2","0.9%"
"Tolland, CT","-","4.9%","44","-","37.9","3.9%"
"Hartford, CT","-","6.7%","49","-","40.0","2.9%"
"Albany, NY","63","9.1%","50","8.6%","38.9","4.3%"
"Hamilton, NY","58","73.2%","-","20.0%","57.2","-11.4%"
"Madison, NY","64","13.0%","37","9.8%","42.1","-4.9%"
"Broome, NY","63","14.3%","66","11.4%","38.5","2.4%"
"Cortland, NY","63","9.9%","45","19.8%","36.5","0.3%"
"Bradford, PA","63","16.7%","-","15.6%","43.7","-3.8%"
"Sullivan, NY","56","38.6%","-","18.4%","41.5","-0.8%"
"Sullivan, NH","61","26.5%","45","15.6%","47.3","-3.1%"
"Sullivan, PA","64","54.7%","-","12.9%","56.1","-12.1%"
"Cattaraugus, NY","58","20.0%","-","12.3%","42.5","-2.8%"
"Ashtabula, OH","56","19.5%","56","25.3%","43.3","0.8%"
"Cuyahoga, OH","54","10.3%","55","20.2%","40.7","-0.4%"
"Medina, OH","58","3.9%","49","19.9%","43.9","5.0%"
"Mahoning, OH","52","8.4%","50","22.8%","43.3","-2.9%"
"Roscommon, MI","53","50.4%","-","31.8%","57.4","-5.5%"
"Benzie, MI","63","38.9%","42","15.3%","50.6","-1.9%"
"Manistee, MI","55","33.9%","-","18.3%","50.3","-1.1%"
"Schoolcraft, MI","62","35.7%","-","22.2%","52.1","-6.7%"
"St. Clair, MI","54","5.3%","38","22.9%","44.8","1.0%"
"Hillsdale, MI","44","16.9%","-","23.9%","42.8","-2.0%"
"Calhoun, MI","51","8.5%","40","25.5%","40.3","-1.9%"
"Montcalm, MI","49","12.7%","70","20.0%","40.6","-0.4%"
"Ionia, MI","52","5.3%","46","16.1%","37.8","0.3%"
"Newaygo, MI","43","21.6%","-","37.1%","42.8","-2.2%"
"Berrien, MI","52","15.9%","49","20.3%","43.0","-0.1%"
"Keweenaw, MI","56","52.4%","-","0.0%","56.7","-7.9%"
"Florence, WI","65","54.7%","-","0.0%","54.8","-2.6%"
"Langlade, WI","63","29.4%","-","16.2%","49.0","-2.5%"
"Racine, WI","55","6.7%","38","15.5%","40.6","2.2%"
"Boone, IL","61","5.3%","42","15.5%","39.5","0.8%"
"Bureau, IL","61","10.4%","-","23.2%","44.1","-0.3%"
"Piscataquis, ME","58","44.6%","-","23.5%","51.4","-5.1%"
"Caledonia, VT","56","19.9%","-","16.1%","45.6","-1.4%"
"Lamoille, VT","53","19.1%","-","20.0%","41.2","4.3%"
"Merrimack, NH","58","6.9%","50","16.6%","42.1","2.6%"
"Dutchess, NY","58","6.5%","51","13.4%","42.3","1.9%"
"Ulster, NY","55","14.9%","54","16.2%","44.3","1.6%"
"Herkimer, NY","59","21.6%","47","11.5%","44.6","-3.9%"
"Lewis, NY","57","29.6%","-","26.0%","42.0","-0.2%"
"Lackawanna, PA","58","11.4%","56","24.7%","41.2","-0.3%"
"Lycoming, PA","53","11.2%","36","34.1%","41.4","-1.4%"
"Chemung, NY","52","9.6%","-","11.4%","42.5","1.1%"
"Schuyler, NY","52","23.5%","-","16.6%","47.4","-0.4%"
"Tioga, NY","60","7.9%","56","13.1%","44.8","-2.3%"
"Tioga, PA","58","22.7%","-","11.6%","45.0","-1.1%"
"Sussex, NJ","62","6.6%","43","12.1%","43.2","0.6%"
"Centre, PA","52","7.3%","44","18.6%","34.3","-0.1%"
"McKean, PA","55","16.8%","-","16.6%","43.8","-8.4%"
"Niagara, NY","54","8.6%","57","14.1%","43.4","-0.0%"
"Forest, WI","58","54.5%","-","7.4%","49.1","-4.9%"
"Forest, PA","52","72.1%","-","12.5%","48.6","-17.2%"
"Clearfield, PA","57","12.3%","-","14.5%","46.3","-2.5%"
"Butler, PA","55","7.7%","49","23.7%","43.4","4.9%"
"Lawrence, PA","55","7.5%","44","19.5%","45.1","-4.0%"
"Leelanau, MI","61","39.6%","55","18.1%","55.3","0.6%"
"Erie, NY","54","7.2%","54","8.2%","40.7","2.9%"
"Erie, PA","64","7.6%","43","14.4%","41.3","-1.0%"
"Erie, OH","58","13.1%","-","24.1%","47.1","2.1%"
"Oakland, MI","53","5.3%","53","18.7%","41.4","3.8%"
"Lucas, OH","56","9.2%","58","17.5%","38.5","-1.0%"
"Washtenaw, MI","51","6.7%","48","16.8%","35.5","5.6%"
"Livingston, NY","64","10.5%","34","11.4%","41.4","-1.5%"
"Livingston, IL","62","8.2%","-","27.5%","41.9","0.2%"
"Livingston, MI","53","4.9%","50","20.3%","44.4","5.6%"
"Saginaw, MI","49","10.6%","50","23.7%","41.2","-1.6%"
"Jackson, MI","55","10.9%","56","21.0%","41.6","-0.3%"
"Ingham, MI","55","7.4%","44","15.5%","33.0","2.0%"
"Clare, MI","57","44.6%","-","17.5%","48.3","-5.8%"
"Steuben, NY","53","18.8%","-","13.4%","43.7","-3.8%"
"Steuben, IN","48","27.7%","-","27.5%","43.6","-4.2%"
"Allegan, MI","53","12.7%","-","19.9%","41.3","3.0%"
"Cass, MI","47","17.4%","48","35.0%","45.5","-2.5%"
"Wyandot, OH","44","8.3%","-","26.0%","41.6","-0.6%"
"Brown, WI","54","3.4%","40","12.1%","38.5","5.1%"
"Houghton, MI","59","24.1%","-","28.2%","32.3","-0.0%"
"Porter, IN","47","6.8%","43","21.7%","41.4","5.4%"
"Will, IL","57","3.8%","52","15.6%","39.6","4.4%"
"Adams, WI","55","44.5%","-","29.0%","55.5","-4.5%"
"Ford, IL","65","8.5%","56","11.7%","42.5","-1.6%"
"Hancock, OH","51","7.1%","49","20.0%","39.5","-0.8%"
"Hancock, ME","58","38.3%","-","19.1%","49.1","-1.3%"
"Newport, RI","59","15.6%","54","12.7%","47.9","2.5%"
"Worcester, MA","54","5.7%","57","27.6%","40.5","6.1%"
"Windham, CT","-","8.0%","-","-","40.8","1.1%"
"Windham, VT","55","34.6%","-","7.2%","47.3","-1.0%"
"Addison, VT","59","16.4%","-","13.1%","44.0","1.0%"
"Bennington, VT","58","29.8%","-","7.3%","46.6","-1.2%"
"Delaware, NY","61","36.9%","-","10.2%","48.8","-4.8%"
"Pike, PA","55","39.8%","-","20.4%","49.4","2.4%"
"Wyoming, NY","61","10.6%","-","4.8%","43.1","0.2%"
"Wyoming, PA","58","15.2%","37","5.7%","45.2","-4.7%"
"Yates, NY","63","30.7%","-","5.7%","41.6","-4.7%"
"Ontario, NY","59","9.6%","59","6.4%","45.8","5.0%"
"Potter, PA","51","45.3%","-","17.0%","48.2","-4.7%"
"Morris, NJ","64","3.4%","50","9.5%","43.1","2.9%"
"Warren, PA","55","24.8%","-","14.5%","47.4","-8.3%"
"Warren, NY","60","23.5%","-","18.4%","46.9","0.9%"
"Warren, NJ","61","3.4%","55","12.8%","44.6","2.8%"
"Northumberland, PA","61","14.0%","-","20.2%","45.2","-4.4%"
"Oscoda, MI","58","52.6%","-","13.5%","52.1","-16.0%"
"Mackinac, MI","65","51.5%","-","14.0%","53.3","-5.1%"
"Emmet, MI","51","33.2%","-","20.0%","46.4","1.4%"
"Sanilac, MI","52","19.7%","-","21.5%","45.3","-5.4%"
"Lenawee, MI","53","8.6%","-","21.7%","43.5","0.1%"
"Defiance, OH","55","7.2%","-","13.9%","40.8","-1.4%"
"Williams, OH","51","6.7%","-","33.6%","41.8","-0.5%"
"Branch, MI","45","18.9%","-","27.9%","40.8","0.2%"
"Noble, IN","47","11.0%","-","35.6%","39.5","-1.2%"
"St. Joseph, IN","48","10.3%","63","23.2%","36.8","1.5%"
"St. Joseph, MI","47","13.3%","-","28.1%","39.8","-2.2%"
"Kalamazoo, MI","49","6.3%","40","18.6%","34.9","2.1%"
"Muskegon, MI","46","7.4%","55","21.2%","40.3","1.9%"
"Van Wert, OH","58","7.3%","-","18.1%","41.4","-1.2%"
"Miami, IN","50","11.1%","-","30.0%","41.0","-3.2%"
"Marinette, WI","61","36.5%","-","18.9%","48.8","-4.3%"
"Shawano, WI","64","17.3%","-","11.1%","45.5","-2.1%"
"Iron, MI","63","40.8%","-","19.7%","53.2","-2.9%"
"Kane, IL","62","3.1%","42","12.7%","39.1","1.2%"
"Grundy, IL","61","3.7%","48","14.8%","38.6","2.7%"
"Winnebago, IL","61","7.5%","52","13.4%","40.1","-0.5%"
"Winnebago, WI","60","7.9%","39","16.4%","38.9","2.2%"
"Green Lake, WI","60","24.1%","-","19.4%","45.5","0.2%"
"Jasper, IN","47","8.1%","48","18.6%","41.4","1.3%"
"Marshall, IN","55","12.9%","-","20.2%","39.6","-1.1%"
"Marshall, IL","63","14.7%","57","10.2%","45.9","-1.3%"
"Lincoln, ME","55","31.9%","-","17.1%","51.1","-0.3%"
"Androscoggin, ME","58","5.0%","49","25.8%","40.7","1.5%"
"York, ME","49","19.3%","58","22.7%","45.7","4.9%"
"Rutland, VT","57","25.0%","-","16.1%","47.7","-1.0%"
"Litchfield, CT","-","12.1%","56","-","47.6","0.5%"
"Rensselaer, NY","60","10.8%","44","10.4%","40.3","1.9%"
"Montgomery, NY","55","16.1%","-","16.9%","40.1","-2.3%"
"Tompkins, NY","55","10.6%","45","13.5%","32.2","9.8%"
