"Name","Sale Inventory Growth (YoY)","Sale Inventory Growth (MoM)","Home Sales Growth (YoY)","Price Cut %","Population Growth","Cap Rate"
"Pembina, ND","-33.3%","5.8%","-66.6%","0.0%","-3.2%","-"
"Ramsey, MN","23.7%","19.3%","-6.3%","19.3%","-2.5%","4.8%"
"Ramsey, ND","20.9%","48.5%","-75.0%","13.3%","0.0%","-"
"Yellow Medicine, MN","2.8%","0.0%","0.0%","12.5%","-3.6%","-"
"Wilkin, MN","-11.6%","-2.5%","0.0%","14.8%","1.1%","2.8%"
"Brookings, SD","90.4%","17.6%","300.0%","2.4%","2.1%","3.5%"
"Barnes, ND","-17.0%","3.0%","-28.5%","13.3%","-0.3%","3.8%"
"Dickey, ND","-50.0%","14.2%","100.0%","0.0%","-0.2%","-"
"Edmunds, SD","83.3%","15.7%","-50.0%","36.3%","2.3%","-"
"Crawford, WI","0.0%","13.7%","54.5%","15.3%","-1.3%","-"
"Crawford, IA","14.2%","-4.2%","66.6%","12.1%","-4.9%","-"
"Dakota, MN","18.8%","18.7%","2.8%","20.3%","5.1%","4.9%"
"Dakota, NE","17.9%","-4.1%","60.0%","14.8%","4.9%","5.7%"
"Bon Homme, SD","-20.0%","41.1%","250.0%","23.5%","0.7%","-"
"Holt, NE","31.5%","16.2%","0.0%","0.0%","-1.4%","-"
"Brule, SD","-22.2%","-6.6%","100.0%","0.0%","0.0%","-"
"Cass, IA","158.3%","13.7%","50.0%","21.6%","-0.5%","-"
"Cass, MN","49.2%","40.8%","-15.5%","21.8%","5.7%","3.9%"
"Cass, ND","0.6%","13.7%","-","19.5%","8.1%","3.3%"
"Cass, NE","17.9%","13.1%","-52.5%","13.1%","4.9%","3.5%"
"McLean, ND","48.0%","21.3%","-16.6%","8.5%","2.0%","-"
"Renville, MN","20.0%","26.9%","71.4%","41.6%","-0.9%","-"
"Renville, ND","-76.9%","-62.5%","-66.6%","0.0%","-8.7%","4.7%"
"Mountrail, ND","-6.6%","-6.6%","200.0%","19.0%","-5.7%","-"
"Logan, CO","20.9%","9.8%","14.2%","24.7%","-2.8%","4.3%"
"Emmons, ND","-27.2%","60.0%","50.0%","0.0%","-2.4%","-"
"Corson, SD","-100.0%","-100.0%","0.0%","0.0%","-7.4%","-"
"Oliver, ND","66.6%","11.1%","100.0%","44.4%","-0.8%","4.7%"
"Hettinger, ND","20.0%","20.0%","0.0%","0.0%","-4.7%","-"
"Deuel, SD","37.5%","83.3%","-80.0%","0.0%","0.2%","-"
"Deuel, NE","-39.1%","-6.6%","-","0.0%","-1.5%","-"
"Box Butte, NE","92.0%","29.7%","-50.0%","20.5%","-3.0%","-"
"Dawes, NE","100.0%","11.4%","0.0%","0.0%","-7.6%","-"
"McKenzie, ND","-56.2%","-6.6%","-14.2%","11.7%","13.9%","4.3%"
"Daniels, MT","200.0%","9.0%","0.0%","33.3%","-13.0%","-"
"Harding, SD","0.0%","0.0%","0.0%","0.0%","-16.7%","-"
"Wibaux, MT","-50.0%","-50.0%","-","0.0%","-2.2%","-"
"Banner, NE","-33.3%","0.0%","0.0%","0.0%","-5.6%","-"
"Weston, WY","20.9%","8.3%","0.0%","0.0%","-3.7%","-"
"Platte, NE","23.6%","11.2%","-7.1%","28.2%","3.9%","6.3%"
"Platte, WY","62.9%","25.7%","20.0%","22.8%","-0.7%","-"
"Madison, IA","-4.4%","8.0%","57.1%","17.2%","5.4%","2.4%"
"Madison, NE","44.7%","9.6%","3.8%","23.0%","1.0%","3.4%"
"Madison, ID","10.6%","10.6%","8.6%","25.3%","38.4%","2.8%"
"Lafayette, WI","61.5%","10.5%","100.0%","11.1%","0.3%","-"
"Rock Island, IL","27.4%","-1.0%","15.5%","14.6%","-1.5%","4.9%"
"Grant, MN","48.5%","33.3%","0.0%","44.4%","2.8%","-"
"Grant, SD","-11.1%","-14.2%","133.3%","0.0%","4.5%","-"
"Grant, WI","-23.7%","0.9%","-2.8%","15.6%","-0.2%","-"
"St. Louis, MN","29.9%","27.7%","-","18.5%","0.3%","6.4%"
"Chisago, MN","-16.8%","16.2%","22.9%","17.4%","4.9%","3.1%"
"Todd, MN","62.2%","36.4%","-40.0%","31.6%","3.9%","-"
"Muscatine, IA","-2.5%","-3.1%","11.7%","26.6%","-0.5%","3.2%"
"La Crosse, WI","28.0%","34.2%","-14.2%","15.6%","1.9%","2.8%"
"Iowa, WI","32.2%","-1.2%","26.6%","10.8%","0.8%","2.7%"
"Iowa, IA","56.0%","25.8%","-56.2%","23.0%","2.0%","-"
"Olmsted, MN","13.0%","-1.5%","-4.2%","15.8%","5.4%","5.7%"
"Mitchell, IA","2.2%","0.0%","-14.2%","10.5%","-0.7%","-"
"Marshall, MN","111.1%","52.0%","200.0%","15.3%","-4.5%","-"
"Marshall, SD","100.0%","11.1%","0.0%","0.0%","-11.0%","-"
"Marshall, IA","54.7%","4.4%","6.2%","17.1%","-0.7%","6.0%"
"Hardin, IA","62.9%","7.3%","6.6%","15.2%","-2.3%","-"
"Des Moines, IA","45.5%","0.0%","28.5%","18.0%","-2.5%","5.4%"
"Clarke, IA","-20.0%","11.1%","-37.5%","8.1%","4.3%","-"
"Beltrami, MN","44.6%","21.1%","-8.8%","10.8%","0.6%","6.3%"
"Nelson, ND","0.0%","0.0%","0.0%","0.0%","3.2%","-"
"Swift, MN","58.8%","0.0%","300.0%","19.0%","3.9%","-"
"Stevens, MN","39.1%","23.0%","-60.0%","12.9%","-1.0%","-"
"Clark, WI","-0.9%","8.3%","-20.0%","19.5%","0.7%","-"
"Clark, SD","0.0%","-33.3%","0.0%","0.0%","5.5%","-"
"O'Brien, IA","-9.6%","3.3%","30.0%","20.3%","1.3%","-"
"Monona, IA","48.8%","12.2%","-50.0%","18.1%","-2.0%","-"
"Wayne, NE","6.6%","0.0%","0.0%","15.3%","4.4%","-"
"Colfax, NE","112.5%","-19.0%","-25.0%","0.0%","-2.0%","8.8%"
"Pierce, WI","-1.9%","-0.9%","-14.7%","18.0%","1.7%","2.7%"
"Pierce, NE","73.3%","18.1%","-33.3%","0.0%","2.1%","3.8%"
"Sherman, NE","100.0%","-25.0%","0.0%","33.3%","-2.2%","-"
"Mills, IA","82.7%","39.4%","60.0%","30.0%","-2.6%","3.2%"
"York, NE","5.6%","5.6%","-33.3%","24.0%","3.1%","-"
"Bottineau, ND","13.8%","19.3%","-66.6%","17.7%","-3.0%","-"
"Sioux, IA","-8.0%","6.5%","-50.0%","22.8%","3.3%","-"
"Sioux, NE","-66.6%","0.0%","0.0%","0.0%","-5.4%","-"
"Adams, IA","-7.6%","-14.2%","0.0%","26.6%","-2.2%","-"
"Adams, ND","33.3%","41.1%","100.0%","26.6%","-7.3%","-"
"Blaine, MT","216.6%","0.0%","100.0%","21.0%","4.0%","-"
"Cherry, NE","-5.8%","-20.0%","-","0.0%","-5.5%","-"
"Richland, WI","3.6%","27.2%","30.0%","18.1%","-1.7%","-"
"Richland, ND","6.0%","9.2%","0.0%","24.6%","1.6%","3.6%"
"Richland, MT","44.1%","-3.1%","-66.6%","10.8%","-0.2%","-"
"Golden Valley, MT","150.0%","25.0%","-50.0%","0.0%","16.0%","-"
"Golden Valley, ND","100.0%","200.0%","-66.6%","0.0%","-10.7%","-"
"Fallon, MT","71.4%","20.0%","300.0%","30.7%","-0.7%","-"
"Dawson, NE","-9.8%","-4.3%","-35.0%","9.0%","0.9%","-"
"Dawson, MT","-23.2%","-2.9%","0.0%","9.3%","-3.4%","-"
"Garfield, NE","20.0%","9.0%","-","0.0%","-9.0%","-"
"Garfield, MT","-25.0%","-25.0%","0.0%","0.0%","-17.7%","-"
"Pennington, MN","25.3%","4.0%","-70.0%","25.9%","-2.1%","-"
"Pennington, SD","54.2%","28.9%","-9.5%","19.5%","3.7%","3.3%"
"Niobrara, WY","-33.3%","14.2%","100.0%","0.0%","-1.3%","-"
"Johnson, IA","14.2%","-7.7%","2.7%","12.9%","4.1%","3.9%"
"Johnson, WY","-2.0%","6.8%","75.0%","15.0%","1.0%","-"
"Carbon, WY","6.5%","4.5%","-10.0%","9.7%","-5.9%","4.7%"
"Carbon, MT","50.0%","16.9%","0.0%","14.7%","3.1%","2.6%"
"Teton, WY","25.4%","13.0%","-17.3%","6.5%","1.2%","2.5%"
"Teton, ID","76.3%","19.6%","-20.0%","11.4%","9.2%","4.8%"
"Moffat, CO","63.3%","16.6%","6.6%","15.0%","1.5%","8.8%"
"Wood, WI","-6.0%","12.0%","-40.2%","17.3%","1.2%","4.8%"
"Henry, IA","27.8%","-4.6%","-12.5%","29.6%","1.5%","-"
"Henry, IL","0.0%","-13.1%","14.8%","15.3%","-1.0%","4.9%"
"Jo Daviess, IL","37.6%","9.4%","58.3%","18.7%","0.3%","-"
"Mercer, ND","42.8%","-10.7%","-38.4%","20.5%","-2.6%","-"
"Mercer, IL","61.9%","15.2%","-23.5%","7.1%","-0.4%","4.1%"
"Knox, NE","43.5%","7.6%","100.0%","24.2%","-1.1%","-"
"Knox, IL","7.4%","24.5%","15.7%","26.3%","-3.3%","-"
"Koochiching, MN","-11.1%","-15.7%","60.0%","0.0%","-5.4%","-"
"Rusk, WI","35.7%","26.6%","-18.7%","28.5%","-0.2%","-"
"Chippewa, MN","8.8%","-3.9%","57.1%","16.0%","3.1%","-"
"Chippewa, WI","14.6%","28.2%","-3.9%","23.4%","5.2%","2.7%"
"Isanti, MN","-8.5%","6.4%","0.0%","16.1%","7.5%","4.4%"
"Rice, MN","23.7%","22.2%","-14.4%","18.4%","2.1%","5.2%"
"Le Sueur, MN","15.9%","11.1%","11.1%","17.6%","3.4%","2.5%"
"Crow Wing, MN","31.5%","22.8%","8.3%","19.0%","6.9%","4.1%"
"Brown, NE","0.0%","-5.2%","0.0%","33.3%","-8.3%","-"
"Brown, SD","23.0%","29.7%","7.1%","29.1%","-1.9%","-"
"Brown, MN","20.7%","68.4%","-31.5%","13.5%","2.4%","-"
"Hubbard, MN","10.2%","31.3%","-38.0%","18.3%","4.0%","-"
"Allamakee, IA","-11.4%","50.0%","-33.3%","27.9%","1.1%","-"
"Trempealeau, WI","12.5%","-5.2%","-22.7%","24.3%","4.5%","-"
"Buchanan, IA","61.2%","-1.9%","0.0%","19.7%","-2.2%","-"
"Fillmore, MN","53.8%","23.4%","-16.6%","20.0%","2.1%","3.4%"
"Bremer, IA","50.7%","5.3%","-19.2%","22.7%","1.3%","3.7%"
"Jasper, IA","28.8%","8.9%","18.7%","20.0%","2.6%","3.9%"
"Franklin, ID","59.4%","20.0%","-33.3%","26.3%","10.8%","2.3%"
"Franklin, IA","50.0%","-9.0%","0.0%","8.8%","-2.6%","-"
"Watonwan, MN","29.7%","-5.8%","160.0%","21.0%","1.7%","-"
"Carroll, IL","44.1%","18.0%","0.0%","24.3%","7.2%","-"
"Carroll, IA","70.7%","16.0%","0.0%","20.2%","1.6%","-"
"Lucas, IA","24.4%","20.4%","100.0%","11.2%","1.0%","-"
"Clearwater, MN","-8.5%","23.0%","-25.0%","0.0%","-2.6%","-"
"Walsh, ND","56.5%","12.5%","0.0%","12.5%","-2.9%","-"
"Codington, SD","12.8%","14.4%","-38.4%","22.0%","2.0%","4.0%"
"Kingsbury, SD","13.0%","8.3%","-33.3%","20.0%","4.8%","-"
"Day, SD","44.0%","0.0%","0.0%","20.0%","-0.8%","-"
"Ransom, ND","-14.2%","50.0%","0.0%","25.0%","5.6%","-"
"Pottawattamie, IA","46.0%","17.1%","-18.0%","16.8%","-0.3%","4.4%"
"Cherokee, IA","73.6%","-1.4%","20.0%","17.3%","1.0%","-"
"Nobles, MN","21.0%","8.2%","36.3%","11.2%","1.0%","-"
"Turner, SD","39.3%","58.6%","166.6%","22.8%","6.1%","2.7%"
"Cedar, IA","33.3%","17.9%","-74.1%","20.6%","-0.0%","-"
"Cedar, NE","50.0%","3.4%","-75.0%","18.1%","-2.1%","-"
"Stanton, NE","-21.4%","-18.5%","-50.0%","17.3%","-2.6%","3.1%"
"Sanborn, SD","0.0%","-14.2%","0.0%","0.0%","-0.7%","-"
"Hall, NE","75.0%","7.6%","13.6%","43.7%","1.7%","4.5%"
"Ward, ND","-23.7%","19.3%","-8.8%","14.9%","0.8%","3.3%"
"Stark, ND","75.7%","22.0%","10.3%","22.6%","7.2%","4.8%"
"Dunn, WI","27.4%","9.4%","-42.8%","13.0%","1.9%","2.2%"
"Dunn, ND","-41.6%","16.6%","-33.3%","0.0%","-7.8%","4.1%"
"Keith, NE","-8.7%","14.2%","0.0%","9.6%","1.7%","-"
"Carter, MT","300.0%","0.0%","-","0.0%","3.2%","-"
"Treasure, MT","200.0%","-33.3%","-","0.0%","-2.0%","-"
"Scotts Bluff, NE","12.2%","16.3%","-23.5%","31.8%","-0.8%","-"
"Kimball, NE","11.1%","18.6%","-50.0%","9.7%","-8.6%","-"
"Laramie, WY","21.3%","2.6%","16.7%","15.7%","2.0%","3.5%"
"Natrona, WY","23.1%","10.5%","7.6%","33.6%","1.0%","5.1%"
"Hill, MT","5.0%","-3.1%","0.0%","25.8%","-1.0%","-"
"Judith Basin, MT","200.0%","-14.2%","0.0%","0.0%","5.2%","-"
"Hot Springs, WY","-10.3%","4.0%","50.0%","15.3%","-1.3%","-"
"Lincoln, MN","128.5%","-27.2%","100.0%","0.0%","-1.9%","-"
"Lincoln, WI","23.4%","16.0%","-10.3%","20.0%","1.9%","3.3%"
"Lincoln, SD","16.6%","18.0%","-21.2%","12.9%","33.3%","4.1%"
"Lincoln, NE","20.9%","7.1%","58.6%","14.8%","-3.6%","5.3%"
"Lincoln, WY","42.8%","36.8%","77.7%","14.6%","6.0%","-"
"Cook, MN","23.0%","68.4%","300.0%","10.0%","6.0%","-"
"Oneida, WI","22.2%","16.2%","-48.9%","19.4%","7.5%","4.4%"
"Sauk, WI","57.4%","12.5%","30.3%","22.5%","3.6%","2.4%"
"Jackson, SD","100.0%","0.0%","0.0%","0.0%","-14.0%","-"
"Jackson, MN","47.8%","28.2%","0.0%","17.7%","-0.8%","-"
"Jackson, IA","11.5%","-7.9%","-7.1%","17.3%","0.1%","-"
"Jackson, WI","82.2%","3.8%","-18.1%","16.0%","2.2%","-"
"Sawyer, WI","100.0%","46.5%","-18.1%","14.8%","11.4%","-"
"Bayfield, WI","13.4%","2.5%","0.0%","18.0%","9.4%","-"
"Washburn, WI","48.5%","23.9%","0.0%","27.1%","6.7%","-"
"Douglas, MN","34.3%","31.6%","5.5%","18.4%","5.7%","-"
"Douglas, NE","21.7%","8.9%","-11.7%","13.6%","3.9%","4.3%"
"Douglas, WI","3.5%","28.2%","-","17.7%","1.8%","5.0%"
"St. Croix, WI","51.3%","14.3%","3.3%","20.4%","7.8%","4.1%"
"Goodhue, MN","28.1%","21.4%","13.9%","14.3%","3.5%","4.2%"
"Washington, IA","-8.1%","5.9%","23.5%","19.7%","1.7%","4.4%"
"Washington, NE","15.9%","0.0%","-45.4%","17.5%","3.8%","2.1%"
"Washington, MN","4.2%","15.4%","-8.2%","22.5%","7.6%","4.5%"
"Mille Lacs, MN","45.3%","12.5%","57.8%","25.5%","4.6%","3.3%"
"Sibley, MN","105.7%","20.0%","55.5%","33.3%","0.1%","-"
"Nicollet, MN","65.3%","10.7%","-","26.6%","1.6%","3.9%"
"Meeker, MN","113.0%","20.9%","61.1%","28.5%","1.4%","-"
"Benton, MN","32.6%","26.6%","-25.0%","26.0%","4.2%","3.9%"
"Benton, IA","7.5%","4.2%","-3.2%","19.2%","0.2%","3.4%"
"Black Hawk, IA","41.6%","11.4%","-14.8%","16.1%","-1.4%","6.1%"
"Floyd, IA","16.6%","9.3%","33.3%","14.8%","-2.2%","-"
"Story, IA","34.3%","19.3%","-1.3%","12.9%","0.4%","3.6%"
"Polk, WI","45.9%","33.6%","16.6%","26.2%","4.5%","-"
"Polk, NE","-42.8%","-27.2%","-33.3%","0.0%","-0.8%","-"
"Polk, MN","7.7%","25.1%","-","13.5%","-2.1%","5.0%"
"Polk, IA","31.1%","9.8%","-7.4%","27.8%","3.7%","4.0%"
"Emmet, IA","21.4%","47.8%","-15.3%","32.0%","-2.4%","-"
"Audubon, IA","58.1%","7.9%","33.3%","9.3%","-0.2%","-"
"Cottonwood, MN","3.5%","3.5%","60.0%","12.5%","0.7%","-"
"Buena Vista, IA","-2.5%","27.8%","-33.3%","23.5%","2.0%","-"
"Traill, ND","15.0%","9.5%","0.0%","0.0%","-0.4%","-"
"Hamlin, SD","36.0%","3.0%","100.0%","15.3%","4.8%","-"
"Sargent, ND","0.0%","0.0%","-50.0%","50.0%","-1.5%","-"
"Beadle, SD","10.1%","-24.6%","-35.2%","24.4%","4.9%","-"
"Ida, IA","25.0%","-20.0%","133.3%","0.0%","0.4%","-"
"Burt, NE","41.9%","12.8%","400.0%","0.0%","3.0%","-"
"Cuming, NE","12.0%","-9.6%","50.0%","18.1%","-0.1%","-"
"Dixon, NE","-39.1%","27.2%","-50.0%","0.0%","-3.2%","-"
"Clay, IA","-13.2%","-11.1%","21.4%","12.6%","0.8%","-"
"Clay, MN","-11.3%","18.6%","-","19.7%","5.5%","4.8%"
"Clay, SD","40.0%","-11.1%","41.6%","44.4%","8.6%","3.4%"
"Lake, MN","13.2%","35.0%","-","15.5%","3.2%","-"
"Lake, SD","44.0%","23.0%","22.2%","8.9%","-12.1%","-"
"Hutchinson, SD","6.6%","10.3%","0.0%","17.3%","1.0%","-"
"Howard, IA","29.4%","10.0%","0.0%","0.0%","2.1%","-"
"Howard, NE","36.8%","-10.3%","300.0%","25.0%","1.3%","4.0%"
"Jerauld, SD","300.0%","-20.0%","-50.0%","0.0%","-9.0%","-"
"Seward, NE","61.1%","38.1%","-14.2%","14.2%","2.9%","4.1%"
"Buffalo, WI","15.5%","10.6%","0.0%","17.3%","1.3%","-"
"Buffalo, NE","-36.5%","2.5%","-20.0%","10.8%","2.6%","5.4%"
"Benson, ND","150.0%","11.1%","-50.0%","0.0%","-14.8%","-"
"Morton, ND","16.6%","29.4%","17.8%","12.3%","9.6%","4.7%"
"Custer, MT","41.1%","2.1%","0.0%","18.6%","0.7%","-"
"Custer, SD","2.2%","0.0%","-22.2%","13.3%","1.3%","2.4%"
"Custer, NE","19.3%","-1.4%","-50.0%","0.0%","-2.6%","-"
"Tripp, SD","750.0%","9.6%","0.0%","0.0%","2.5%","-"
"Jones, IA","-11.4%","12.7%","-17.6%","17.0%","1.1%","4.0%"
"McPherson, NE","-","0.0%","-","0.0%","1.9%","-"
"Sheridan, WY","18.7%","19.6%","-20.0%","21.8%","5.2%","2.8%"
"Sheridan, MT","66.6%","7.1%","0.0%","25.0%","2.8%","-"
"Sheridan, ND","200.0%","33.3%","0.0%","0.0%","-5.5%","-"
"Sheridan, NE","52.3%","39.1%","0.0%","22.2%","-3.3%","-"
"Morrill, NE","44.4%","-3.6%","-25.0%","23.5%","-6.1%","-"
"Butte, SD","110.2%","18.8%","0.0%","26.6%","3.5%","-"
"Lawrence, SD","12.2%","11.6%","-9.3%","17.5%","5.3%","3.0%"
"Goshen, WY","8.9%","8.9%","54.5%","18.7%","-6.3%","-"
"Phillips, MT","-33.3%","-6.2%","0.0%","0.0%","2.4%","-"
"Chouteau, MT","40.0%","21.7%","200.0%","23.5%","1.7%","-"
"Big Horn, MT","90.9%","7.6%","-83.3%","0.0%","-3.0%","-"
"Big Horn, WY","-34.0%","18.5%","-33.3%","9.7%","-1.3%","-"
"Petroleum, MT","-80.0%","0.0%","0.0%","0.0%","-7.1%","-"
"Weber, UT","49.9%","4.4%","5.5%","39.0%","6.0%","3.8%"
"Davis, UT","49.8%","14.8%","13.8%","35.0%","6.1%","3.6%"
"Waldo, ME","36.5%","22.9%","138.0%","20.5%","1.4%","4.8%"
"Kennebec, ME","49.0%","31.5%","6.8%","25.9%","4.2%","4.6%"
"Grand Isle, VT","27.8%","6.8%","-40.0%","26.2%","6.1%","4.0%"
"Providence, RI","39.7%","14.5%","-13.1%","10.4%","3.8%","5.2%"
"Windsor, VT","22.9%","3.1%","-24.6%","14.2%","4.5%","2.9%"
"Fairfield, CT","-","-","-4.0%","-","1.6%","3.7%"
"Saratoga, NY","25.9%","24.3%","-7.6%","10.5%","3.7%","3.5%"
"Westchester, NY","11.5%","18.2%","-4.0%","7.6%","2.3%","3.9%"
"St. Lawrence, NY","25.7%","12.6%","17.6%","17.1%","-1.0%","-"
"Orleans, VT","41.7%","22.2%","5.5%","10.0%","2.1%","-"
"Orleans, NY","3.1%","11.8%","0.0%","4.0%","-3.6%","5.3%"
"Elk, PA","0.0%","-9.8%","-85.7%","23.5%","0.3%","-"
"Chautauqua, NY","11.6%","8.9%","-18.9%","16.0%","-2.3%","5.2%"
"Venango, PA","43.4%","5.8%","-50.0%","19.4%","-4.3%","-"
"Armstrong, PA","-8.8%","13.2%","-7.1%","27.6%","-1.8%","7.2%"
"Summit, OH","33.6%","3.8%","0.6%","23.1%","-1.1%","5.6%"
"Alpena, MI","9.0%","25.3%","-40.7%","12.3%","1.0%","-"
"Ogemaw, MI","24.3%","20.0%","0.0%","24.2%","-0.3%","-"
"Cheboygan, MI","-9.2%","17.4%","-31.0%","13.7%","1.2%","-"
"Grand Traverse, MI","10.3%","14.0%","12.4%","22.9%","4.1%","5.6%"
"Sandusky, OH","-13.2%","7.6%","1.8%","14.2%","-0.8%","-"
"Lapeer, MI","38.0%","23.1%","-32.9%","24.1%","1.0%","4.3%"
"Arenac, MI","26.8%","25.3%","-25.0%","24.6%","-0.7%","-"
"Bay, MI","8.4%","6.2%","2.1%","19.4%","-1.3%","7.8%"
"Gladwin, MI","41.7%","28.3%","5.5%","14.2%","1.0%","-"
"Mecosta, MI","7.0%","10.1%","-19.6%","23.6%","-6.8%","5.4%"
"LaGrange, IN","18.4%","32.3%","-47.0%","29.8%","4.2%","-"
"Elkhart, IN","28.9%","9.6%","15.3%","22.2%","0.4%","4.7%"
"Oceana, MI","16.4%","22.3%","-42.8%","23.5%","1.4%","-"
"Delta, MI","2.7%","12.8%","16.1%","18.3%","1.7%","-"
"Kewaunee, WI","17.6%","25.0%","0.0%","21.0%","1.2%","2.1%"
"Kankakee, IL","47.6%","12.3%","7.6%","24.8%","-3.7%","5.3%"
"Kenosha, WI","5.5%","18.6%","-11.3%","12.9%","-1.0%","-"
"Fond du Lac, WI","36.1%","20.4%","-1.2%","10.5%","0.8%","3.3%"
"McHenry, IL","27.3%","17.3%","-9.0%","14.4%","1.3%","5.3%"
"Dodge, WI","-8.6%","2.5%","7.5%","13.7%","0.4%","2.9%"
"DeKalb, IN","21.2%","22.4%","-13.7%","18.7%","2.0%","3.7%"
"DeKalb, IL","-0.4%","14.1%","3.7%","12.9%","-3.7%","4.8%"
"Dane, WI","27.0%","8.8%","-0.5%","16.2%","6.0%","2.9%"
"Aroostook, ME","11.3%","12.2%","7.8%","26.8%","0.3%","-"
"Penobscot, ME","22.2%","21.8%","12.1%","26.4%","2.7%","5.9%"
"Somerset, ME","15.9%","17.5%","27.5%","21.4%","0.2%","5.7%"
"Rockingham, NH","25.4%","17.4%","-2.9%","15.4%","3.7%","4.0%"
"Hillsborough, NH","45.6%","35.6%","2.6%","13.9%","2.9%","3.7%"
"Grafton, NH","30.5%","23.4%","-11.4%","16.8%","3.7%","4.7%"
"New London, CT","-","-","-1.8%","-","-0.3%","3.9%"
"Orange, NY","14.7%","14.2%","-2.8%","12.4%","6.6%","4.3%"
"Orange, VT","21.7%","38.2%","116.6%","14.2%","2.2%","4.7%"
"Hampshire, MA","35.3%","28.4%","14.4%","26.4%","0.7%","-"
"Bergen, NJ","5.5%","18.4%","-2.5%","13.3%","2.2%","4.3%"
"Greene, NY","26.3%","15.2%","10.2%","12.3%","-0.1%","5.4%"
"Chenango, NY","-13.3%","1.7%","-20.6%","18.3%","-3.4%","-"
"Oswego, NY","16.6%","19.0%","14.5%","11.6%","0.2%","8.0%"
"Cayuga, NY","28.8%","13.7%","5.5%","15.6%","-3.4%","4.9%"
"Allegany, NY","23.1%","12.7%","-29.1%","13.7%","0.0%","-"
"Passaic, NJ","8.7%","20.4%","-3.0%","9.7%","2.0%","4.2%"
"Carbon, PA","31.4%","8.5%","-25.2%","20.8%","1.9%","5.3%"
"Mercer, PA","53.2%","2.4%","3.0%","17.0%","-1.9%","-"
"Clarion, PA","35.4%","22.6%","-55.0%","12.1%","-3.9%","-"
"Ashland, OH","34.8%","26.0%","0.0%","23.9%","-2.2%","3.9%"
"Richland, OH","20.7%","8.8%","5.6%","27.3%","3.2%","5.4%"
"Antrim, MI","31.3%","42.7%","-40.0%","23.2%","3.0%","-"
"Missaukee, MI","54.5%","36.0%","0.0%","31.3%","0.9%","-"
"Shiawassee, MI","6.1%","-0.5%","-28.5%","14.0%","-0.2%","-"
"Paulding, OH","100.0%","2.7%","86.6%","33.3%","-0.3%","-"
"Eaton, MI","15.8%","10.9%","-5.9%","21.5%","-0.9%","4.2%"
"Osceola, MI","40.1%","29.9%","-9.0%","25.6%","-0.4%","-"
"Van Buren, MI","40.2%","14.8%","-26.0%","26.8%","0.4%","8.0%"
"LaPorte, IN","13.0%","11.3%","-4.3%","20.9%","1.5%","5.3%"
"Huntington, IN","3.0%","9.8%","-34.0%","27.4%","1.0%","-"
"Wabash, IN","54.9%","18.2%","-18.5%","17.5%","-2.3%","-"
"Door, WI","4.8%","12.9%","-10.8%","8.8%","10.3%","-"
"Waupaca, WI","15.7%","35.0%","-36.0%","16.6%","0.5%","-"
"Manitowoc, WI","4.2%","6.4%","8.7%","9.7%","2.8%","4.3%"
"Calumet, WI","-22.8%","3.1%","66.6%","9.3%","5.6%","2.6%"
"Waukesha, WI","12.8%","28.8%","4.9%","12.6%","2.3%","3.4%"
"Kendall, IL","21.8%","11.9%","-7.9%","14.2%","9.4%","6.3%"
"Green, WI","-7.2%","-7.2%","13.3%","4.0%","0.4%","2.3%"
"Newton, IN","69.2%","-1.4%","0.0%","35.0%","-1.1%","7.4%"
"Iroquois, IL","42.8%","0.6%","-25.0%","27.1%","-5.0%","-"
"LaSalle, IL","57.8%","17.2%","28.4%","23.6%","-1.0%","5.4%"
"Sagadahoc, ME","81.5%","42.2%","6.8%","23.2%","5.1%","3.2%"
"Cumberland, ME","43.7%","35.8%","26.5%","26.4%","5.6%","4.1%"
"Barnstable, MA","40.3%","23.6%","-7.7%","22.0%","8.5%","4.1%"
"Norfolk, MA","45.2%","25.5%","-7.8%","31.0%","3.1%","4.2%"
"Strafford, NH","-1.1%","25.4%","-3.7%","15.2%","2.4%","4.4%"
"Coos, NH","55.1%","22.7%","7.1%","19.7%","-2.0%","-"
"Belknap, NH","24.8%","26.8%","7.1%","26.2%","7.2%","3.7%"
"Cheshire, NH","28.6%","19.0%","20.6%","21.9%","1.5%","4.2%"
"Tolland, CT","-","-","-14.9%","-","-0.5%","4.4%"
"Hartford, CT","-","-","-6.2%","-","0.5%","4.2%"
"Albany, NY","10.4%","31.6%","-7.3%","8.6%","3.1%","4.1%"
"Hamilton, NY","11.1%","9.7%","-25.0%","20.0%","11.5%","-"
"Madison, NY","-15.1%","25.5%","-16.2%","9.8%","-5.4%","5.1%"
"Broome, NY","-1.0%","0.0%","-15.5%","11.4%","2.3%","6.2%"
"Cortland, NY","-7.5%","5.7%","-41.9%","19.8%","-3.5%","5.8%"
"Bradford, PA","-0.7%","10.4%","73.6%","15.6%","-2.1%","5.4%"
"Sullivan, NY","26.8%","26.4%","38.8%","18.4%","5.8%","-"
"Sullivan, NH","7.3%","31.1%","-7.5%","15.6%","0.9%","3.5%"
"Sullivan, PA","54.2%","42.1%","100.0%","12.9%","-5.3%","-"
"Cattaraugus, NY","23.0%","11.0%","2.9%","12.3%","-1.6%","3.9%"
"Ashtabula, OH","29.0%","16.5%","27.2%","25.3%","-0.6%","6.3%"
