"Name","Days on Market","Days on Market Growth (YoY)","Home Value","Home Value Growth (YoY)","Inventory Surplus/Deficit","Population"
"Midland, MI","32","14.5%","$241,718","3.9%","-22.3%","84,039"
"Clinton, MI","46","60.0%","$307,298","5.1%","11.5%","79,720"
"Isabella, MI","42","8.3%","$221,851","0.6%","-29.0%","64,475"
"Whitley, IN","31","-18.9%","$271,830","4.3%","35.1%","34,388"
"Lake, OH","35","18.6%","$238,841","5.1%","-27.9%","231,640"
"Lake, IN","41","15.4%","$244,847","1.9%","27.3%","500,598"
"Lake, IL","29","12.6%","$376,176","5.8%","-51.8%","708,760"
"Lake, MI","53","46.2%","$150,154","3.1%","25.6%","12,393"
"Mason, MI","49","-9.2%","$255,481","0.5%","-1.4%","29,177"
"Starke, IN","55","42.8%","$208,873","5.8%","-3.4%","23,300"
"Crawford, PA","47","1.6%","$161,991","6.0%","-34.7%","82,001"
"Crawford, OH","47","100.0%","$151,131","4.5%","12.3%","41,767"
"Lee, IL","45","66.6%","$171,194","5.6%","-33.0%","34,058"
"Marquette, WI","52","34.1%","$266,113","6.4%","-23.5%","15,706"
"Trumbull, OH","43","36.5%","$156,913","6.5%","-16.4%","200,373"
"Lorain, OH","33","8.2%","$249,211","6.0%","-16.9%","317,910"
"Huron, MI","52","46.1%","$193,641","1.0%","-8.3%","31,258"
"Huron, OH","43","53.5%","$182,861","4.1%","-28.5%","58,412"
"Macomb, MI","32","16.3%","$268,454","3.6%","4.0%","875,101"
"Gratiot, MI","45","-0.5%","$173,087","1.4%","-17.0%","41,478"
"Barry, MI","36","15.2%","$281,123","3.9%","-8.2%","62,982"
"Ottawa, OH","52","2.9%","$267,134","3.9%","4.5%","40,161"
"Ottawa, MI","37","17.4%","$384,547","3.7%","0.8%","303,372"
"Allen, IN","38","34.5%","$248,456","3.9%","50.3%","394,545"
"Fulton, OH","35","27.2%","$222,290","6.0%","-15.3%","42,434"
"Fulton, IN","59","24.8%","$194,088","8.4%","10.2%","20,411"
"Sheboygan, WI","36","26.3%","$311,272","7.3%","-14.9%","117,752"
"Milwaukee, WI","29","0.0%","$279,428","4.4%","-20.5%","916,205"
"DuPage, IL","26","26.8%","$427,634","4.9%","-50.2%","921,213"
"Jefferson, PA","43","-37.6%","$113,284","1.5%","-41.2%","44,099"
"Jefferson, WI","42","27.6%","$349,648","5.2%","-29.8%","85,743"
"Ogle, IL","37","0.0%","$215,155","1.5%","-53.7%","51,536"
"Columbia, WI","54","55.0%","$345,125","5.9%","15.3%","58,322"
"Putnam, OH","44","66.0%","$234,791","9.2%","-11.4%","34,352"
"Putnam, IL","100","75.4%","$189,221","6.0%","-24.0%","5,600"
"Stephenson, IL","50","28.2%","$146,128","7.3%","-19.5%","44,042"
"Henry, OH","36","-26.8%","$199,103","7.0%","21.1%","27,581"
"Geauga, OH","29","7.4%","$367,183","5.4%","-34.9%","95,407"
"Seneca, OH","36","21.0%","$165,112","2.0%","18.5%","54,861"
"Tuscola, MI","51","50.0%","$179,372","4.1%","-9.3%","53,071"
"Wood, OH","36","25.2%","$235,410","3.5%","-1.1%","132,650"
"Genesee, MI","45","20.0%","$185,642","2.2%","3.4%","401,522"
"Kosciusko, IN","45","9.0%","$271,669","3.3%","-8.4%","80,364"
"Pulaski, IN","47","-9.1%","$179,696","7.3%","10.0%","12,441"
"Cook, IL","32","6.6%","$318,892","2.9%","-32.2%","5,087,072"
"Ozaukee, WI","32","14.2%","$481,848","4.8%","-25.2%","93,460"
"Walworth, WI","44","-12.0%","$395,282","3.7%","-14.8%","105,822"
"Rock, WI","37","4.2%","$281,991","6.7%","-4.8%","164,278"
"Stark, OH","30","18.8%","$207,065","7.0%","-0.4%","372,716"
"Stark, IL","46","14.2%","$132,064","-1.1%","-28.7%","5,324"
"Steuben, NY","66","55.2%","$158,794","2.7%","-16.3%","92,162"
"Orleans, NY","26","-57.3%","$178,950","4.0%","-34.4%","39,686"
"Oswego, NY","41","3.1%","$182,976","5.9%","-34.9%","118,162"
"Cayuga, NY","37","39.6%","$213,448","4.4%","-34.0%","74,485"
"Livingston, NY","21","-18.4%","$231,459","7.3%","-46.3%","61,588"
"Allegany, NY","45","16.8%","$122,695","7.7%","-10.8%","47,027"
"Jefferson, NY","43","-14.4%","$210,818","4.2%","-31.0%","114,787"
"Bradford, PA","39","-5.4%","$199,167","4.4%","-48.2%","59,971"
"Sullivan, PA","51","10.8%","$194,298","2.5%","-43.3%","5,849"
"Lycoming, PA","42","30.7%","$222,967","3.1%","-8.9%","112,724"
"Chemung, NY","24","-7.6%","$146,666","2.6%","14.3%","81,325"
"Schuyler, NY","47","-24.1%","$221,739","3.8%","3.9%","17,749"
"Tioga, NY","31","19.6%","$183,458","4.9%","-33.6%","48,106"
"Tioga, PA","75","23.9%","$205,035","3.7%","-40.3%","41,078"
"Genesee, NY","24","21.5%","$207,482","5.7%","-15.0%","57,943"
"Centre, PA","33","-23.7%","$345,067","3.1%","2.0%","157,795"
"Clinton, PA","44","4.1%","$189,398","3.5%","-4.6%","37,707"
"Wyoming, NY","18","-71.4%","$189,073","3.9%","-41.1%","39,980"
"Yates, NY","36","5.8%","$299,205","8.8%","-43.4%","24,637"
"Ontario, NY","43","40.9%","$299,046","5.3%","-35.7%","112,494"
"Potter, PA","80","63.9%","$153,190","0.2%","-4.0%","16,276"
"Northumberland, PA","44","6.1%","$156,299","13.2%","-21.4%","90,120"
"Tompkins, NY","39","34.4%","$342,924","4.7%","-17.2%","103,558"
"Montour, PA","44","41.9%","$266,491","2.2%","-20.9%","18,079"
"Onondaga, NY","40","26.9%","$259,805","7.9%","-26.3%","467,873"
"Seneca, NY","36","14.2%","$206,403","5.7%","-23.5%","33,125"
"Monroe, NY","22","109.5%","$271,363","6.5%","-34.2%","748,482"
"Luzerne, PA","37","13.8%","$213,718","5.6%","-12.7%","327,388"
"Wayne, NY","31","144.0%","$228,094","8.0%","-45.5%","90,829"
"Cameron, PA","81","20.9%","$76,800","10.4%","-30.6%","4,475"
"Columbia, PA","38","-12.7%","$230,723","-0.4%","-39.1%","65,439"
"Union, PA","53","-4.5%","$271,813","2.9%","-26.9%","42,570"
"Sevier, UT","81","42.1%","$318,780","2.9%","74.0%","21,854"
"Clark, NV","46","17.9%","$441,615","3.4%","30.2%","2,336,573"
"La Paz, AZ","68","-24.2%","$268,090","0.3%","-2.0%","16,605"
"San Bernardino, CA","53","24.7%","$560,816","1.6%","38.8%","2,195,611"
"Riverside, CA","54","21.3%","$623,219","0.7%","38.3%","2,492,442"
"Iron, UT","60","13.2%","$405,180","0.7%","46.0%","60,201"
"Mohave, AZ","63","10.5%","$349,902","-0.6%","49.1%","223,682"
"Millard, UT","79","-23.4%","$341,662","5.4%","103.9%","13,179"
"Washington, UT","68","15.2%","$537,663","0.6%","67.0%","202,452"
"Pima, AZ","52","23.8%","$352,554","-1.2%","71.0%","1,063,162"
"Kane, UT","64","24.2%","$416,910","0.6%","40.4%","7,996"
"Yuma, AZ","60","34.8%","$277,992","2.6%","52.8%","213,221"
"Garfield, UT","85","33.8%","$243,530","3.2%","15.9%","5,170"
"Coconino, AZ","52","14.2%","$639,621","2.5%","38.4%","144,472"
"Yavapai, AZ","57","-9.8%","$510,306","0.0%","54.0%","249,081"
"Imperial, CA","47","20.5%","$362,761","5.6%","18.5%","179,057"
"Juab, UT","58","27.7%","$440,255","2.4%","115.6%","12,273"
"Maricopa, AZ","57","-4.2%","$475,352","-2.0%","60.2%","4,585,871"
"Beaver, UT","75","3.8%","$293,741","1.5%","26.0%","7,172"
"White Pine, NV","87","10.8%","$172,324","-1.6%","-21.2%","8,856"
"Lincoln, NV","85","65.8%","$223,359","-4.4%","53.8%","4,452"
"Greeley, KS","73","-60.0%","$133,748","1.9%","12.5%","1,296"
"Hutchinson, TX","61","31.1%","$117,488","2.1%","33.0%","20,413"
"Morton, KS","75","-12.8%","$103,367","0.8%","31.3%","2,647"
"Prowers, CO","81","-30.4%","$168,758","2.6%","91.7%","11,931"
"Dallam, TX","47","0.0%","$147,179","0.8%","64.7%","7,180"
"Lamb, TX","80","15.9%","$103,612","-0.6%","72.3%","12,919"
"Douglas, CO","36","22.0%","$741,724","-0.3%","77.7%","383,906"
"Las Animas, CO","91","27.2%","$242,197","0.1%","71.2%","14,392"
"Alamosa, CO","50","-7.8%","$314,149","3.9%","39.1%","16,515"
"Hinsdale, CO","234","463.8%","$454,062","3.0%","-9.2%","939"
"Doña Ana, NM","68","11.4%","$289,389","1.3%","11.2%","225,210"
"Cibola, NM","114","69.3%","$144,518","4.3%","35.7%","27,059"
"Navajo, AZ","52","-5.4%","$385,577","-0.1%","32.2%","109,175"
"Wallace, KS","235","-19.3%","$128,901","6.4%","100.0%","1,459"
"Washington, CO","107","81.3%","$254,573","5.7%","60.0%","4,839"
"Swisher, TX","66","-4.0%","$96,338","-2.7%","69.3%","6,981"
"Randall, TX","48","14.2%","$253,436","-0.1%","18.4%","148,255"
"Garza, TX","44","-14.5%","$115,501","-3.4%","5.0%","5,435"
"Howard, TX","79","56.4%","$147,835","-14.0%","18.6%","33,127"
"Hale, TX","82","-5.2%","$116,769","-4.8%","64.5%","32,247"
"Morgan, CO","66","38.9%","$330,211","1.3%","71.0%","29,186"
"Elbert, CO","44","15.7%","$687,723","1.6%","79.2%","27,152"
"Denver, CO","43","32.3%","$576,020","-2.7%","111.5%","716,577"
"Fremont, CO","58","30.3%","$346,950","2.6%","75.4%","49,394"
"Broomfield, CO","35","29.6%","$654,633","-0.7%","82.1%","76,860"
"Lake, CO","63","1.6%","$484,050","2.7%","55.8%","7,411"
"Ouray, CO","92","34.3%","$791,711","0.2%","25.0%","5,024"
"Rio Grande, CO","86","-18.5%","$313,769","5.7%","-6.7%","11,394"
"Archuleta, CO","64","9.4%","$577,525","3.3%","23.2%","13,730"
"Chaves, NM","71","6.4%","$164,154","3.0%","-9.1%","64,446"
"Wayne, UT","90","7.7%","$421,034","1.4%","21.7%","2,557"
"Duchesne, UT","56","-16.1%","$358,062","4.2%","-17.2%","19,932"
"McKinley, NM","43","-68.8%","$217,614","3.2%","4.8%","68,797"
"Cochise, AZ","67","-17.9%","$260,624","0.4%","17.8%","124,640"
"Hayes, NE","67","-4.3%","$297,390","13.7%","100.0%","854"
"Kearny, KS","30","-30.2%","$186,860","6.3%","12.2%","3,910"
"Hamilton, KS","73","-42.2%","$139,820","6.9%","166.6%","2,485"
"Texas, OK","57","-20.8%","$161,297","2.7%","122.2%","20,880"
"Stevens, KS","47","-50.5%","$157,242","4.4%","-19.1%","5,212"
"Hansford, TX","122","65.4%","$136,876","-2.5%","75.0%","5,182"
"Carson, TX","49","32.4%","$166,869","-1.1%","58.8%","5,802"
"Armstrong, TX","64","45.4%","$237,062","0.9%","52.3%","1,883"
"Moore, TX","39","-51.8%","$180,235","3.2%","5.4%","21,234"
"Potter, TX","59","2.6%","$145,370","-0.3%","52.8%","114,647"
"Castro, TX","68","161.5%","$126,530","-9.8%","31.3%","7,328"
"Parmer, TX","57","-43.2%","$155,296","1.3%","100.0%","9,752"
"Glasscock, TX","17","-73.6%","$282,971","-3.6%","-16.6%","1,070"
"Gaines, TX","48","10.9%","$225,757","7.3%","14.5%","21,904"
"Ector, TX","43","5.5%","$246,029","4.2%","-11.2%","164,494"
"Crowley, CO","51","-55.5%","$148,488","3.1%","25.8%","5,734"
"Adams, CO","42","55.5%","$508,116","-1.2%","96.2%","533,365"
"Jefferson, CO","36","56.5%","$653,209","-0.2%","107.4%","576,366"
"Clear Creek, CO","40","10.3%","$585,207","0.2%","105.0%","9,358"
"Eagle, CO","114","3.6%","$1,298,243","3.2%","17.4%","55,374"
"De Baca, NM","99","12.5%","$93,293","6.1%","9.8%","1,580"
"Torrance, NM","87","17.9%","$211,397","-0.7%","-9.7%","15,290"
"Delta, CO","57","3.6%","$400,757","4.6%","25.2%","31,353"
"Grand, CO","69","21.0%","$777,707","0.9%","97.0%","15,794"
"Grand, UT","104","-25.2%","$594,241","-0.9%","73.5%","9,697"
"Dolores, CO","38","-61.8%","$285,879","1.4%","-11.1%","2,385"
"Dundy, NE","52","-53.3%","$188,620","3.3%","108.6%","1,811"
"Chase, NE","59","-30.1%","$199,387","2.3%","33.3%","3,639"
"Kit Carson, CO","58","-41.1%","$229,094","6.8%","3.2%","7,015"
"Phillips, CO","83","46.6%","$251,814","4.1%","43.2%","4,491"
"Cimarron, OK","100","-70.8%","$79,024","4.1%","-33.3%","2,247"
"Hartley, TX","165","277.1%","$257,239","4.0%","11.1%","5,307"
"Deaf Smith, TX","71","24.5%","$174,638","3.3%","59.4%","18,487"
"Martin, TX","60","-36.6%","$234,132","0.9%","-34.0%","5,230"
"Yoakum, TX","69","-8.3%","$193,831","-1.2%","49.6%","7,589"
"Bailey, TX","38","-81.7%","$146,465","3.0%","9.0%","7,044"
"Winkler, TX","81","46.6%","$122,526","3.8%","-18.6%","7,540"
"Gilpin, CO","30","-26.8%","$567,339","1.8%","51.8%","5,877"
"Saguache, CO","77","-3.7%","$220,620","9.6%","34.3%","6,511"
"Colfax, NM","87","31.8%","$249,636","2.1%","-2.1%","12,336"
"Taos, NM","79","2.2%","$453,283","-5.1%","8.7%","34,516"
"Santa Fe, NM","57","6.5%","$560,793","0.3%","42.6%","155,956"
"Sandoval, NM","57","9.0%","$373,030","2.3%","34.2%","155,936"
"Eddy, NM","64","55.1%","$231,838","4.3%","-25.3%","61,114"
"Utah, UT","50","40.8%","$552,420","1.5%","58.5%","719,174"
"Pinal, AZ","64","0.0%","$376,597","-2.3%","76.9%","484,239"
"Hitchcock, NE","102","31.8%","$143,891","2.9%","65.8%","2,601"
"Kiowa, CO","72","-74.3%","$163,845","-3.1%","231.5%","1,356"
"Sterling, TX","34","-5.6%","$163,564","3.2%","146.1%","1,389"
"Crosby, TX","65","-32.2%","$84,042","6.1%","60.0%","5,072"
"Lubbock, TX","44","4.7%","$211,164","-2.3%","57.0%","320,940"
"Lea, NM","61","25.7%","$192,791","0.2%","-50.1%","72,101"
"Teller, CO","53","81.0%","$499,343","1.1%","100.6%","24,774"
"Custer, CO","89","10.5%","$411,473","5.1%","32.4%","5,073"
"Bernalillo, NM","54","25.5%","$345,904","2.7%","11.3%","671,586"
"Montrose, CO","66","14.7%","$445,720","3.9%","14.6%","43,272"
"Wasatch, UT","66","0.3%","$971,978","0.9%","61.3%","35,808"
"Sanpete, UT","72","37.5%","$368,935","1.7%","59.3%","29,209"
"Catron, NM","70","-69.7%","$201,356","-0.9%","-8.3%","3,685"
"Garfield, CO","59","6.7%","$695,458","3.8%","-9.1%","62,034"
"Thomas, KS","53","-20.3%","$174,795","7.8%","23.7%","7,913"
"Rawlins, KS","70","-33.1%","$122,836","7.4%","-71.4%","2,533"
"Logan, KS","74","93.4%","$140,958","12.6%","57.1%","2,720"
"Cheyenne, CO","240","33.7%","$184,027","6.4%","87.4%","1,732"
"Cheyenne, KS","163","78.1%","$154,983","13.9%","64.1%","2,628"
"Yuma, CO","84","-15.5%","$265,020","2.9%","44.4%","9,921"
"Briscoe, TX","111","62.5%","$150,277","-8.5%","6.6%","1,223"
"Bent, CO","79","-64.0%","$128,393","-11.3%","112.5%","5,524"
"Curry, NM","51","27.5%","$163,739","0.4%","33.2%","47,932"
"Floyd, TX","115","10.0%","$92,004","-2.4%","82.2%","5,294"
"Midland, TX","40","5.2%","$327,041","4.8%","14.2%","177,108"
"Terry, TX","74","-21.6%","$130,805","0.7%","72.4%","11,699"
"Roosevelt, NM","104","71.0%","$148,966","-0.6%","-3.5%","19,002"
"Arapahoe, CO","37","23.3%","$546,539","-1.4%","116.8%","656,061"
"Chaffee, CO","53","-16.8%","$690,825","2.4%","77.9%","19,876"
"Gunnison, CO","73","-39.1%","$696,757","-0.0%","-3.8%","17,158"
"Pitkin, CO","122","3.6%","$2,507,884","5.8%","-17.5%","17,119"
"Union, NM","109","-16.3%","$124,192","4.3%","3.2%","4,039"
"Huerfano, CO","80","-8.0%","$274,717","0.7%","30.2%","6,946"
"Rio Arriba, NM","108","53.5%","$337,150","5.2%","-5.0%","40,165"
"Mineral, CO","40","-69.6%","$430,517","6.4%","-25.6%","799"
"Otero, CO","82","14.6%","$162,309","6.3%","75.4%","18,460"
"Otero, NM","66","32.6%","$234,035","9.5%","14.2%","68,835"
"Socorro, NM","91","-14.9%","$190,057","0.0%","-27.0%","16,308"
"Sierra, NM","61","-33.7%","$173,318","1.0%","-24.1%","11,511"
"Culberson, TX","64","-72.5%","$148,775","11.9%","72.9%","2,181"
"San Juan, CO","59","-37.1%","$535,978","-3.3%","-18.9%","690"
"San Juan, UT","100","-6.3%","$356,623","1.6%","23.8%","14,466"
"San Juan, NM","51","12.2%","$258,367","4.1%","-47.6%","120,675"
"Luna, NM","81","-11.0%","$157,236","1.4%","-13.2%","25,420"
"Apache, AZ","85","7.5%","$300,276","-1.1%","23.9%","65,036"
"Lincoln, CO","25","-68.6%","$247,950","2.0%","80.8%","5,561"
"Lincoln, NM","78","25.8%","$354,769","-3.0%","37.0%","20,227"
"Lynn, TX","59","-9.9%","$178,592","-8.3%","20.0%","5,667"
"Dawson, TX","68","-22.2%","$106,858","6.8%","4.5%","12,311"
"Hockley, TX","57","0.8%","$156,793","-3.2%","9.1%","21,455"
"Cochran, TX","34","-83.9%","$66,694","-6.6%","-6.2%","2,520"
"El Paso, TX","60","12.1%","$226,549","1.5%","33.5%","869,880"
"El Paso, CO","37","23.3%","$469,323","-0.8%","87.5%","744,215"
"Pueblo, CO","54","17.3%","$294,821","0.1%","96.4%","169,422"
"Boulder, CO","37","15.6%","$754,808","-1.0%","73.7%","326,831"
"Park, CO","57","20.6%","$545,910","-0.0%","84.0%","17,739"
"Quay, NM","108","14.5%","$112,366","7.6%","0.0%","8,616"
"San Miguel, CO","117","2.6%","$1,483,754","1.9%","-15.8%","8,026"
"San Miguel, NM","66","-42.7%","$239,775","3.7%","-39.8%","27,036"
"Costilla, CO","100","65.1%","$195,617","1.1%","23.8%","3,571"
"Conejos, CO","67","95.6%","$214,656","-0.7%","36.7%","7,536"
"Rio Blanco, CO","66","13.7%","$316,438","7.0%","-23.8%","6,518"
"Mesa, CO","44","-4.3%","$426,303","4.2%","18.7%","159,681"
"Carbon, UT","107","45.0%","$276,135","4.5%","29.5%","20,446"
"Montezuma, CO","50","-26.4%","$400,383","2.1%","5.3%","26,204"
"Grant, KS","39","-28.1%","$146,246","6.4%","-52.5%","7,284"
"Grant, NM","73","11.8%","$192,009","-5.7%","-5.7%","27,856"
"Gila, AZ","60","-7.6%","$392,668","-0.9%","55.0%","53,610"
"Wichita, KS","183","9.5%","$146,024","8.5%","-40.0%","2,115"
"Stanton, KS","354","395.1%","$139,327","6.8%","-60.0%","2,018"
"Sherman, KS","38","-41.0%","$144,076","4.0%","20.6%","5,919"
"Sherman, TX","47","-74.6%","$174,287","-1.5%","9.5%","2,434"
"Andrews, TX","37","-28.4%","$248,191","5.3%","-28.8%","18,518"
"Summit, CO","58","4.5%","$1,008,082","-1.4%","10.3%","30,857"
"Los Alamos, NM","40","364.7%","$596,253","5.5%","158.2%","19,374"
"Valencia, NM","62","22.7%","$313,159","3.5%","11.1%","79,141"
"Reeves, TX","95","17.6%","$166,450","-6.8%","96.2%","13,219"
"Uintah, UT","53","26.1%","$343,801","4.6%","-20.5%","36,458"
"Salt Lake, UT","44","23.0%","$572,033","2.2%","47.8%","1,185,813"
"La Plata, CO","48","5.4%","$667,762","2.6%","1.8%","56,088"
"Greenlee, AZ","54","-63.9%","$161,180","-7.5%","-53.8%","9,452"
"Graham, AZ","71","29.0%","$290,196","4.4%","45.9%","38,860"
"Jersey, IL","50","-11.1%","$194,792","2.8%","-22.7%","21,336"
"St. Francois, MO","51","23.9%","$187,388","4.2%","24.2%","67,058"
"Tallahatchie, MS","108","97.2%","$101,259","5.1%","46.6%","12,363"
"Bolivar, MS","96","64.1%","$132,498","1.5%","30.7%","30,163"
"Appanoose, IA","60","-28.5%","$106,047","1.6%","52.9%","12,242"
"Pettis, MO","38","-30.5%","$182,460","5.7%","4.7%","43,205"
"Ray, MO","55","60.2%","$254,033","6.3%","30.4%","23,149"
"Woodruff, AR","45","-46.4%","$78,173","-7.5%","5.2%","6,157"
"Laclede, MO","46","5.1%","$223,599","3.2%","-6.2%","36,245"
"Pope, AR","61","30.8%","$203,014","3.7%","36.4%","63,830"
"Yell, AR","77","-17.4%","$159,528","0.2%","10.4%","20,195"
"Dade, MO","57","-9.8%","$179,527","3.1%","39.1%","7,627"
"Morehouse, LA","128","72.9%","$86,047","-6.0%","-31.9%","24,967"
"De Soto, LA","73","5.4%","$190,009","9.2%","58.4%","26,897"
"Bossier, LA","54","28.5%","$239,539","1.1%","16.4%","129,795"
"Shawnee, KS","36","17.0%","$205,095","5.0%","-13.5%","177,746"
"Republic, KS","115","107.2%","$110,645","4.2%","47.3%","4,662"
"Harlan, NE","70","23.8%","$142,654","2.9%","80.6%","3,006"
"Rogers, OK","51","2.0%","$277,548","1.5%","13.2%","100,248"
"Tulsa, OK","46","21.0%","$245,647","2.8%","17.1%","682,868"
"Murray, OK","70","23.3%","$169,533","5.6%","9.8%","13,807"
"Noble, OK","50","3.0%","$145,993","6.1%","20.5%","10,909"
"Grady, OK","53","15.2%","$235,329","4.5%","59.6%","55,868"
"Kingfisher, OK","88","21.3%","$228,489","3.9%","86.4%","15,288"
"Barber, KS","73","0.0%","$81,353","5.1%","-22.5%","4,153"
"Choctaw, OK","89","-11.8%","$131,046","5.3%","49.2%","14,299"
"Van Zandt, TX","71","6.3%","$278,044","-1.5%","80.3%","61,323"
"Navarro, TX","65","5.6%","$222,105","2.4%","89.3%","53,735"
"Hill, TX","59","-3.3%","$232,393","2.1%","75.0%","36,664"
"Parker, TX","51","-2.8%","$451,615","0.1%","86.3%","173,494"
"Palo Pinto, TX","75","8.3%","$276,480","0.4%","49.9%","28,920"
"Ness, KS","136","180.4%","$90,550","3.5%","64.1%","2,659"
"Roger Mills, OK","99","-67.7%","$175,433","5.4%","1.2%","3,378"
"Meade, KS","135","48.3%","$122,493","3.4%","68.4%","3,949"
"Donley, TX","57","7.5%","$102,597","-8.2%","53.5%","3,276"
"Stonewall, TX","96","17.7%","$97,896","-7.4%","7.6%","1,244"
"Scurry, TX","46","21.0%","$131,791","5.4%","-37.4%","16,633"
"St. Charles, MO","39","14.7%","$364,159","2.6%","8.4%","416,659"
"St. Louis, MO","44","6.1%","$178,788","1.6%","15.8%","281,754"
"St. Louis, MO","36","30.9%","$281,289","2.7%","-1.9%","987,059"
"Ste. Genevieve, MO","67","16.0%","$262,735","6.9%","12.2%","18,551"
"Tunica, MS","53","-27.0%","$142,894","0.7%","-31.0%","9,586"
"Rankin, MS","61","16.1%","$262,533","1.5%","17.2%","160,417"
"Sharkey, MS","203","407.5%","$107,024","-8.4%","-57.8%","3,848"
"Ralls, MO","45","36.3%","$240,783","6.4%","4.5%","10,394"
"Macon, MO","57","-8.7%","$171,176","3.4%","-35.8%","15,163"
"Chariton, MO","59","-26.0%","$134,857","-3.6%","-24.7%","7,406"
"Buchanan, MO","44","41.9%","$180,290","6.9%","-8.7%","82,956"
"Faulkner, AR","46","10.1%","$252,635","3.7%","42.5%","129,951"
"Conway, AR","52","-25.7%","$157,545","-4.5%","-5.2%","20,872"
"Le Flore, OK","73","-7.5%","$159,960","3.2%","47.2%","48,728"
"West Carroll, LA","60","-23.0%","$128,448","3.9%","-32.2%","9,622"
"Drew, AR","71","-7.4%","$157,382","1.4%","28.8%","17,143"
"Bienville, LA","73","6.9%","$107,502","2.1%","-17.0%","12,769"
"Little River, AR","66","-28.6%","$145,490","-2.7%","18.1%","11,959"
"Camp, TX","73","10.2%","$211,403","-3.5%","43.2%","12,652"
"Atchison, MO","36","-80.9%","$134,956","5.1%","-41.4%","5,216"
"Atchison, KS","54","16.7%","$168,826","5.0%","-1.1%","16,211"
"Lyon, KS","44","87.1%","$183,346","3.6%","36.5%","32,145"
"Wabaunsee, KS","66","-21.4%","$244,648","7.6%","-16.8%","6,961"
"Gage, NE","34","30.7%","$198,085","8.8%","4.7%","21,646"
"Cloud, KS","60","-12.4%","$110,547","12.9%","66.0%","8,973"
"Jewell, KS","91","55.3%","$95,538","6.1%","105.1%","2,909"
"Russell, KS","69","5.3%","$104,841","4.5%","-13.7%","6,717"
"Rooks, KS","64","-5.8%","$107,702","6.4%","-28.0%","4,869"
"Nowata, OK","53","-11.0%","$162,429","5.4%","2.0%","9,392"
"Wilson, KS","70","-4.4%","$98,346","5.4%","-3.5%","8,559"
"Okmulgee, OK","64","-5.1%","$130,950","5.2%","57.4%","36,922"
"Elk, KS","51","161.5%","$77,802","9.9%","-42.8%","2,464"
"Creek, OK","50","19.7%","$210,471","5.1%","12.3%","73,332"
"Pontotoc, OK","53","2.9%","$178,022","1.3%","14.2%","38,158"
"Sumner, KS","53","1.9%","$138,794","2.1%","-16.3%","22,386"
"Blaine, OK","57","-15.5%","$102,638","-2.5%","8.8%","8,603"
"Woods, OK","142","66.0%","$106,256","-1.0%","3.8%","8,619"
"Rockwall, TX","51","17.2%","$427,543","-1.8%","75.1%","131,307"
"Grayson, TX","60","16.5%","$302,635","-0.1%","111.5%","146,907"
"Denton, TX","42","23.5%","$470,057","-1.6%","70.1%","1,007,703"
"Carter, MO","94","31.4%","$184,374","0.9%","43.3%","5,269"
"Carter, OK","71","17.3%","$173,207","-0.0%","12.6%","48,255"
"Cooke, TX","66","-2.9%","$327,475","3.2%","93.9%","42,473"
"Montague, TX","57","-11.2%","$261,507","-0.1%","101.1%","20,599"
"Hood, TX","58","20.2%","$379,549","0.2%","116.4%","67,774"
"Ford, KS","93","103.3%","$213,413","7.3%","61.5%","34,133"
"Dickens, TX","26","-68.0%","$88,470","2.5%","125.6%","1,641"
"Mississippi, AR","54","1.8%","$99,466","1.8%","-16.1%","39,749"
"Simpson, MS","99","72.0%","$149,463","8.6%","36.1%","25,817"
"Leflore, MS","82","43.8%","$76,213","-2.3%","-15.2%","27,432"
"Lewis, MO","46","-18.2%","$174,280","4.7%","-29.6%","9,945"
"Maries, MO","58","-11.7%","$244,038","4.8%","40.0%","8,435"
"Grundy, MO","33","3.9%","$111,971","3.4%","-28.0%","9,822"
"Sharp, AR","81","21.8%","$141,314","-2.1%","-0.7%","17,597"
"Izard, AR","59","6.3%","$168,528","1.4%","20.2%","13,866"
"Barry, MO","58","4.0%","$237,879","6.3%","23.9%","34,831"
"Benton, MO","52","-6.3%","$182,294","7.4%","17.9%","19,887"
"Benton, AR","46","-14.8%","$379,780","4.0%","33.7%","311,013"
"Delaware, OK","65","8.7%","$269,974","3.8%","19.8%","41,017"
"Richland, LA","71","19.3%","$154,075","-0.2%","-3.6%","19,908"
"Natchitoches, LA","78","45.5%","$165,622","-0.1%","4.1%","37,047"
"Columbia, AR","85","8.2%","$127,887","-5.5%","2.8%","22,527"
"Hempstead, AR","79","6.7%","$111,496","-4.1%","36.7%","19,778"
"Rusk, TX","66","18.9%","$202,439","2.4%","29.5%","52,613"
"McCurtain, OK","102","29.1%","$189,458","-2.4%","131.5%","30,825"
"Woodson, KS","67","-10.6%","$97,476","10.8%","47.6%","3,118"
"Otoe, NE","34","20.7%","$231,449","5.3%","0.0%","16,075"
"Morris, TX","75","16.7%","$174,439","-0.1%","104.8%","12,014"
"Morris, KS","51","37.8%","$155,476","6.4%","-22.9%","5,388"
"Dickinson, KS","37","1.3%","$162,398","5.3%","-42.1%","18,423"
"Harvey, KS","36","-22.1%","$183,304","5.4%","14.0%","33,823"
"Kearney, NE","32","-73.5%","$245,633","5.2%","-1.3%","6,697"
"Phelps, MO","68","49.4%","$220,189","7.0%","19.0%","44,948"
